ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_CPCfRGravityCosmology,residual_CPCfRGravityCosmology,Dl_CPCfRGravityCosmology_tt,residual_CPCfRGravityCosmology_tt,Dl_CPCfRGravityCosmology_te,residual_CPCfRGravityCosmology_te,Dl_CPCfRGravityCosmology_ee,residual_CPCfRGravityCosmology_ee
1346,737.666,-57.1386,25.6747,713.796,23.8704,-56.8005,-0.338074,28.8182,-3.14349,,,,,,,,
1355,765.134,-65.5484,22.1336,729.348,35.7865,-60.7986,-4.74983,27.3165,-5.18287,,,,,,,,
1364,776.923,-62.1891,20.8649,747.184,29.7393,-63.5754,1.3863,25.6243,-4.75935,,,,,,,,
1373,777.362,-56.4015,13.9711,766.281,11.0803,-65.056,8.65443,23.7976,-9.82652,,,,,,,,
1382,773.981,-47.5995,19.7096,785.63,-11.649,-65.2101,17.6106,21.8958,-2.18613,,,,,,,,
1391,806.044,-66.4348,18.9034,804.242,1.80178,-64.0417,-2.3931,19.9758,-1.07238,,,,,,,,
1400,830.177,-61.3485,26.3292,821.255,8.92163,-61.6046,0.256157,18.095,8.23421,,,,,,,,
1409,822.186,-54.6345,5.1988,835.856,-13.6703,-57.9838,3.34926,16.3053,-11.1065,,,,,,,,
1418,818.106,-52.4991,20.0139,847.294,-29.1877,-53.3154,0.816357,14.6584,5.35552,,,,,,,,
1427,796.252,-38.2634,20.0412,854.984,-58.7323,-47.7721,9.50861,13.2016,6.83959,,,,,,,,
1436,803.463,-40.2416,13.1922,858.441,-54.9772,-41.5362,1.29459,11.973,1.21922,,,,,,,,
1445,798.655,-37.8014,10.43,857.302,-58.6476,-34.8012,-3.00016,11.0018,-0.571808,,,,,,,,
1454,773.833,-26.0106,2.1953,851.343,-77.5095,-27.7636,1.75292,10.3075,-8.11222,,,,,,,,
1463,762.183,-21.7373,18.35,840.613,-78.4298,-20.6371,-1.10021,9.90031,8.44968,,,,,,,,
1472,749.532,-9.44394,12.4154,825.272,-75.7406,-13.6395,4.19554,9.78063,2.63474,,,,,,,,
1481,738.185,2.7698,16.5295,805.609,-67.4235,-6.97626,9.74606,9.94031,6.58915,,,,,,,,
1490,727.424,-4.9052,14.6158,782.048,-54.624,-0.832073,-4.07313,10.3629,4.25289,,,,,,,,
1499,701.642,-1.96257,-1.3298,755.038,-53.3961,4.63338,-6.59596,11.0243,-12.3541,,,,,,,,
1512,655.678,7.47919,21.9852,711.065,-55.3876,11.0673,-3.58811,12.3365,9.64869,,,,,,,,
1529,588.39,9.37829,16.3364,648.087,-59.6976,16.4655,-7.08721,14.5004,1.836,,,,,,,,
1546,547.01,10.0139,17.2441,583.576,-36.5662,18.1836,-8.16968,16.8903,0.35377,,,,,,,,
1563,503.657,-0.414165,16.8062,522.113,-18.4564,16.3034,-16.7176,19.2004,-2.39426,,,,,,,,
1580,468.039,-1.86885,6.00044,467.815,0.223886,11.3434,-13.2122,21.1411,-15.1407,,,,,,,,
1597,429.111,-9.9112,23.6655,423.876,5.23525,4.11399,-14.0252,22.4793,1.18628,,,,,,,,
1614,407.925,-9.49197,28.6547,392.082,15.8437,-4.45111,-5.04086,23.058,5.59675,,,,,,,,
1631,399.577,-25.3687,25.01,372.731,26.8461,-13.2782,-12.0905,22.8208,2.1892,,,,,,,,
1648,389.097,-22.7408,15.7028,364.899,24.1979,-21.346,-1.39474,21.798,-6.09516,,,,,,,,
1665,391.497,-25.4964,25.7318,366.701,24.7954,-27.83,2.33361,20.098,5.63375,,,,,,,,
1682,385.396,-29.9275,35.6797,375.185,10.2103,-32.1334,2.20597,17.9092,17.7705,,,,,,,,
1699,400.368,-26.1074,19.884,387.074,13.2938,-33.9346,7.82722,15.4628,4.42123,,,,,,,,
1716,393.039,-22.1731,-2.30435,399.209,-6.17066,-33.2027,11.0295,12.9901,-15.2944,,,,,,,,
1733,407.61,-28.2166,10.7442,408.655,-1.04477,-30.2418,2.02526,10.7255,0.0187107,,,,,,,,
1750,377.716,-22.2324,37.1788,413.084,-35.3688,-25.5536,3.32116,8.8643,28.3145,,,,,,,,
1767,379.019,-13.1588,21.6818,411.043,-32.024,-19.7668,6.60802,7.54127,14.1406,,,,,,,,
1784,377.36,-11.8144,-18.8184,402.119,-24.7593,-13.6402,1.82572,6.82449,-25.6429,,,,,,,,
1801,358.796,-8.0874,23.4248,386.683,-27.8869,-7.89521,-0.192197,6.7159,16.7089,,,,,,,,
1818,342.446,-0.976027,18.7414,365.796,-23.3497,-3.13484,2.15882,7.15243,11.589,,,,,,,,
1835,313.006,-4.91613,16.6022,341.335,-28.3287,0.178676,-5.0948,8.00767,8.59449,,,,,,,,
1852,305.378,1.81527,-6.23088,315.396,-10.0176,1.77659,0.0386808,9.12519,-15.3561,,,,,,,,
1869,276.147,-4.78882,36.2976,289.999,-13.8524,1.60327,-6.39209,10.3336,25.964,,,,,,,,
1886,265.911,1.66045,0.555329,267.154,-1.24353,-0.159891,1.82034,11.4573,-10.902,,,,,,,,
1903,249.92,-11.107,-18.6965,248.418,1.50222,-3.18928,-7.91774,12.3457,-31.0423,,,,,,,,
1920,257.96,-8.76494,26.026,234.747,23.2136,-7.04988,-1.71506,12.8864,13.1396,,,,,,,,
1937,245.342,-13.224,20.5827,226.447,18.8955,-11.2018,-2.02213,13.0152,7.56749,,,,,,,,
1954,231.313,-5.86213,-42.7334,223.282,8.0307,-15.1277,9.26555,12.7155,-55.4489,,,,,,,,
1971,229.279,-28.0519,51.929,224.463,4.81553,-18.3784,-9.67352,12.0183,39.9107,,,,,,,,
1988,225.825,-27.8392,5.28485,228.663,-2.83839,-20.5946,-7.24455,11.0051,-5.72023,,,,,,,,
2005,240.086,,,234.417,5.66916,-21.5512,,9.78149,,,,,,,,,
2030,233.983,,,242.503,-8.52036,-20.5695,,7.85386,,,,,,,,,
2063,216.247,,,245.97,-29.7234,-15.6437,,5.67019,,,,,,,,,
2096,204.908,,,236.198,-31.2893,-8.6174,,4.46693,,,,,,,,,
2129,200.092,,,213.284,-13.1915,-2.17826,,4.43799,,,,,,,,,
2162,168.762,,,182.663,-13.9005,1.55155,,5.29399,,,,,,,,,
2195,140.144,,,151.978,-11.834,1.76237,,6.45342,,,,,,,,,
2228,129.223,,,128.15,1.0735,-0.944397,,7.29512,,,,,,,,,
2261,118.304,,,114.633,3.67136,-4.94678,,7.40855,,,,,,,,,
2294,118.51,,,110.788,7.72158,-8.42633,,6.72009,,,,,,,,,
2327,115.407,,,112.74,2.66696,-10.0371,,5.47481,,,,,,,,,
2360,114.999,,,115.341,-0.342143,-9.39508,,4.10265,,,,,,,,,
2393,126.918,,,114.439,12.4788,-7.034,,3.02028,,,,,,,,,
2426,90.007,,,108.19,-18.1834,-4.08255,,2.48471,,,,,,,,,
2459,83.9457,,,97.485,-13.5393,-1.72314,,2.50913,,,,,,,,,
2492,78.7067,,,84.9835,-6.27683,-0.718325,,2.90371,,,,,,,,,
