Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_CPCfRGravityCosmology,residual_CPCfRGravityCosmology
sn1992ag,0.025198,34.99283,0.148276,35.172776,-0.17994571,35.177381,-0.18455047
sn2007cq,0.025468,34.943635,0.143429,35.196369,-0.2527343,35.200975,-0.25734042
sn2005ms,0.026567,35.377692,0.142099,35.289929,0.087762683,35.294541,0.083151071
sn1999gp,0.026677,35.353986,0.142999,35.299084,0.054902039,35.303696,0.050289882
sn2005na,0.026881,35.274075,0.141195,35.315964,-0.04188889,35.320577,-0.046502061
sn2007co,0.027064,35.208077,0.141685,35.331,-0.1229227,35.335614,-0.12753678
sn2004gs,0.027499,35.554208,0.140928,35.366345,0.18786301,35.370961,0.18324677
sn1992p,0.027637,35.512376,0.144083,35.377444,0.1349326,35.382061,0.13031569
sn1998ab,0.027688,34.989967,0.143171,35.381531,-0.39156455,35.386149,-0.39618172
sn2002de,0.027748,35.482228,0.141846,35.386331,0.095897339,35.390948,0.091279869
sn2003u,0.028561,35.339311,0.14269,35.450384,-0.11107308,35.455006,-0.11569456
sn2005eq,0.029086,35.610269,0.141059,35.490804,0.11946476,35.495428,0.11484069
sn2006qo,0.029526,35.436744,0.142005,35.524133,-0.087389642,35.52876,-0.092015862
sn1990o,0.030325,35.497775,0.143169,35.583432,-0.085657817,35.588063,-0.090287936
sn2001ba,0.030381,35.669209,0.142175,35.587531,0.081678387,35.592161,0.077047993
sn2003ch,0.030416,35.690108,0.140939,35.590088,0.10001977,35.594719,0.095389202
sn1997dg,0.030482,35.947597,0.1417,35.594904,0.35269347,35.599535,0.34806258
sn1996c,0.030721,35.590467,0.142617,35.612258,-0.021791154,35.61689,-0.026423199
sn2006bt,0.031484,35.80412,0.140272,35.666786,0.13733365,35.671422,0.1326979
sn2006az,0.031485,35.68697,0.140346,35.666857,0.020112706,35.671493,0.01547695
sn2007bd,0.031638,35.584368,0.14121,35.677636,-0.093267299,35.682272,-0.097903791
sn1999cc,0.031764,35.633256,0.140686,35.686473,-0.053217309,35.69111,-0.057854415
sn2004as,0.032538,35.8802,0.14043,35.740025,0.1401756,35.744665,0.13553477
sn2004l,0.033173,35.745515,0.143111,35.783037,-0.037521144,35.78768,-0.04216503
sn2006s,0.033255,35.96312,0.139885,35.788532,0.17458743,35.793177,0.16994315
sn2006gr,0.033614,35.91306,0.139809,35.812438,0.10062277,35.817084,0.095976776
sn2005iq,0.034074,36.012203,0.138969,35.842707,0.16949637,35.847355,0.16484818
sn2005eu,0.034781,35.901769,0.141596,35.88846,0.013308797,35.893112,0.0086572436
sn1996bl,0.034854,35.742786,0.141007,35.893132,-0.15034646,35.897784,-0.15499836
sn2003iv,0.034971,36.008294,0.140126,35.900601,0.10769282,35.905254,0.10304037
sn1992bg,0.035218,35.883836,0.14465,35.916289,-0.032453114,35.920942,-0.037106739
sn2002hd,0.035755,35.691602,0.142258,35.950028,-0.25842543,35.954684,-0.2630816
SDSS17784,0.03652,36.08076,0.115396,35.997249,0.083511296,36.001908,0.07885153
sn2000cf,0.036934,36.125246,0.140956,36.022403,0.10284355,36.027064,0.098181843
sn2006nz,0.03695,36.067055,0.114021,36.023369,0.043685694,36.028031,0.039023912
sn2006mo,0.036969,36.135765,0.141722,36.024517,0.11124845,36.029178,0.10658658
sn2001eh,0.037075,36.029637,0.139296,36.030907,-0.0012697011,36.035569,-0.0059320712
sn2002hu,0.038086,36.047263,0.138952,36.090977,-0.043714149,36.095644,-0.048381237
sn1999aw,0.039083,36.261874,0.139901,36.148714,0.11316003,36.153386,0.10848832
sn2003fa,0.039219,36.157637,0.138984,36.156478,0.0011582903,36.161151,-0.0035140535
sn2001az,0.040259,36.35703,0.142119,36.215002,0.14202741,36.219679,0.13735027
sn2005lz,0.040689,36.276362,0.139014,36.238771,0.037591222,36.24345,0.032912114
sn1992bh,0.041657,36.527303,0.141016,36.291397,0.23590521,36.296081,0.23122168
sn1992bl,0.0424,36.296029,0.142756,36.330991,-0.034962203,36.335678,-0.039649109
SDSS10805,0.04413,36.27164,0.11486,36.420631,-0.14899104,36.425326,-0.15368575
SDSS14279,0.04428,36.292702,0.113705,36.428242,-0.13553999,36.432937,-0.14023537
sn2005hc,0.04492,36.564561,0.111373,36.460436,0.1041244,36.465134,0.099426162
sn2004gu,0.046856,36.447889,0.137271,36.555185,-0.1072959,36.559892,-0.11200273
sn1995ac,0.048984,36.350468,0.139079,36.655051,-0.30458283,36.659767,-0.30929899
sn1993ag,0.049325,36.589362,0.140167,36.670663,-0.081300504,36.67538,-0.086018142
sn1990af,0.049519,36.643828,0.139446,36.679498,-0.035670227,36.684216,-0.040388706
sn1993o,0.053126,36.846507,0.139575,36.837945,0.0085620707,36.842679,0.0038281268
sn1998dx,0.05386,36.749621,0.140685,36.868912,-0.11929109,36.873649,-0.12402814
sn1999ao,0.054931,37.041519,0.143919,36.913374,0.128145,36.918116,0.12340345
SDSS19968,0.05499,36.903421,0.112893,36.915799,-0.012378092,36.920541,-0.017119893
SDSS6558,0.05634,37.006419,0.112867,36.970611,0.035807408,36.975359,0.031059978
SDSS14318,0.05654,36.864026,0.122398,36.978624,-0.11459741,36.983372,-0.11934567
SDSS17745,0.05874,37.218674,0.114585,37.065003,0.15367092,37.06976,0.1489136
sn2006ob,0.059289,37.049891,0.111086,37.086073,-0.036182483,37.090833,-0.040942037
sn2006oa,0.060959,37.14167,0.11093,37.14903,-0.0073603905,37.153797,-0.012126709
