Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_CPCfRGravityCosmology,residual_CPCfRGravityCosmology
SDSS762,0.1901,39.961754,0.114249,39.805449,0.15630558,39.810531,0.15122349
SDSS18804,0.19084,39.750769,0.112617,39.814863,-0.064093993,39.819946,-0.069176829
SDSS16276,0.19176,39.870269,0.114367,39.826522,0.043747833,39.831605,0.038664092
SDSS18787,0.19191,40.161918,0.114568,39.828418,0.33350004,39.833501,0.32841615
SDSS16618,0.19198,39.705824,0.114573,39.829302,-0.12347819,39.834386,-0.12856214
SDSS2440,0.19215,40.019265,0.114217,39.831448,0.18781728,39.836532,0.18273316
SDSS16100,0.19392,39.899804,0.117691,39.853692,0.046112664,39.858777,0.041026866
SDSS2246,0.19422,39.859825,0.11684,39.857443,0.0023820773,39.862529,-0.002703999
SDSS20575,0.19465,39.588541,0.114454,39.862811,-0.27426976,39.867898,-0.27935623
SDSS19149,0.19494,39.551078,0.11376,39.866425,-0.31534716,39.871512,-0.3204339
SDSS16099,0.1958,39.968351,0.113084,39.877114,0.091236937,39.882201,0.086149424
SDSS15674,0.19654,40.006128,0.117701,39.886276,0.1198523,39.891364,0.11476413
SDSS18768,0.19671,40.079696,0.118689,39.888376,0.19131944,39.893465,0.18623112
SDSS15129,0.19699,39.844063,0.114008,39.891832,-0.047768964,39.896921,-0.052857526
SDSS13070,0.19709,39.980877,0.116183,39.893065,0.087811808,39.898154,0.082723159
SDSS15901,0.19794,39.955027,0.114551,39.903524,0.051503436,39.908613,0.046414056
SDSS15222,0.19801,39.775762,0.115064,39.904383,-0.12862098,39.909473,-0.13371042
SDSS19658,0.19863,40.022234,0.116081,39.911983,0.110251,39.917073,0.10516103
SDSS17811,0.19867,39.987938,0.114249,39.912473,0.07546528,39.917563,0.070375284
SDSS16737,0.1988,39.742162,0.124264,39.914063,-0.17190063,39.919153,-0.17699074
SDSS13305,0.19959,40.002195,0.115206,39.923708,0.078487694,39.928798,0.073396936
SDSS6780,0.20061,39.850487,0.120729,39.936108,-0.085621719,39.9412,-0.090713302
SDSS15872,0.20203,39.91546,0.117009,39.953275,-0.037815071,39.958368,-0.042907769
SDSS7243,0.20231,39.997872,0.117808,39.956647,0.041224334,39.96174,0.036131421
SDSS16032,0.20318,40.030084,0.114994,39.967097,0.062986303,39.972191,0.057892731
SDSS14212,0.20399,40.015354,0.114245,39.976789,0.038564098,39.981884,0.033469926
SDSS18965,0.20466,40.025888,0.115117,39.98478,0.041108498,39.989874,0.036013839
SDSS17801,0.20515,40.189933,0.131465,39.990608,0.19932448,39.995703,0.19422947
SDSS20581,0.20554,39.977925,0.114345,39.995238,-0.017313304,40.000333,-0.022408589
SDSS19913,0.20557,40.064992,0.114899,39.995594,0.069398179,40.000689,0.064302873
SDSS13152,0.2056,39.725076,0.113718,39.99595,-0.27087333,40.001045,-0.27596866
SDSS15201,0.20704,40.382853,0.117479,40.01297,0.36988294,40.018066,0.36478663
SDSS13641,0.20852,40.053077,0.114386,40.03035,0.022727168,40.035447,0.017629874
SDSS15467,0.2091,39.965702,0.115699,40.03713,-0.071427721,40.042227,-0.076525386
SDSS13425,0.20953,39.97229,0.131221,40.042145,-0.069855384,40.047243,-0.07495332
SDSS16473,0.2096,40.098031,0.115465,40.042961,0.055070333,40.048059,0.049972353
04D1dc,0.210032,39.940759,0.085765,40.047989,-0.10722962,40.053087,-0.11232786
SDSS19425,0.21025,40.06196,0.128931,40.050522,0.011437475,40.055621,0.0063390926
SDSS15259,0.21054,39.946447,0.11424,40.053889,-0.10744132,40.058987,-0.11253988
SDSS17875,0.21075,40.325716,0.116152,40.056324,0.26939236,40.061423,0.26429367
SDSS14157,0.21082,39.870705,0.11447,40.057135,-0.18642969,40.062234,-0.19152842
SDSS7847,0.21134,39.893376,0.115658,40.063154,-0.16977742,40.068253,-0.17487645
SDSS6933,0.21163,39.953113,0.114069,40.066504,-0.1133917,40.071604,-0.11849091
SDSS2330,0.21179,40.41951,0.124547,40.068351,0.35115896,40.07345,0.34605966
SDSS18466,0.21226,40.021027,0.115112,40.073769,-0.052741581,40.078868,-0.057841156
SDSS14331,0.2126,40.27207,0.116607,40.077681,0.19438877,40.082781,0.189289
SDSS8495,0.21295,40.048138,0.121443,40.081702,-0.033564468,40.086802,-0.038664435
SDSS18927,0.21323,39.856819,0.117876,40.084915,-0.22809622,40.090015,-0.23319634
SDSS20364,0.21382,40.133128,0.11761,40.091672,0.041456125,40.096772,0.036355676
SDSS7473,0.21457,40.213491,0.114262,40.100236,0.11325479,40.105337,0.10815394
SDSS15203,0.21468,40.01396,0.114437,40.10149,-0.087529845,40.106591,-0.092630755
SDSS14019,0.21513,40.506169,0.120494,40.106613,0.39955599,40.111714,0.39445484
SDSS17435,0.21674,40.224268,0.115124,40.124862,0.099405939,40.129964,0.094303981
SDSS9467,0.21698,40.362519,0.124622,40.127571,0.23494717,40.132674,0.22984509
SDSS19008,0.21757,40.022694,0.11934,40.134221,-0.11152732,40.139323,-0.11662968
SDSS5533,0.21829,40.130614,0.114544,40.142313,-0.011699704,40.147416,-0.016802398
SDSS7512,0.21835,40.22788,0.116348,40.142986,0.084893064,40.148089,0.079790342
SDSS18940,0.21861,40.034787,0.114762,40.145902,-0.11111542,40.151005,-0.11621826
SDSS20144,0.21865,40.151814,0.11463,40.14635,0.0054635364,40.151453,0.00036067721
05D3kx,0.219462,40.124424,0.085341,40.155433,-0.031008945,40.160537,-0.036112166
SDSS19230,0.21955,39.855575,0.119543,40.156416,-0.30084093,40.161519,-0.30594419
SDSS13727,0.21971,40.207089,0.115514,40.158201,0.04888788,40.163305,0.04378455
SDSS15433,0.21976,40.191425,0.114935,40.158759,0.03266594,40.163862,0.027562589
SDSS16793,0.22058,40.047012,0.138465,40.167889,-0.12087693,40.172993,-0.12598063
SDSS15354,0.22068,39.987392,0.119891,40.169,-0.18160812,40.174104,-0.18671186
SDSS15229,0.22256,40.271888,0.11527,40.189807,0.082081186,40.194911,0.076976694
SDSS14846,0.22328,40.220412,0.115872,40.197732,0.022679265,40.202837,0.017574504
SDSS13025,0.22351,40.301727,0.1168,40.200259,0.10146772,40.205364,0.096362877
SDSS19992,0.22452,40.485442,0.122907,40.211327,0.27411464,40.216433,0.26900944
SDSS19341,0.22667,40.166936,0.118938,40.234737,-0.067800905,40.239843,-0.072906807
SDSS13578,0.22668,40.208463,0.115846,40.234845,-0.026381666,40.239951,-0.031487571
SDSS21033,0.22786,40.210809,0.11565,40.247606,-0.036796862,40.252712,-0.041903115
SDSS3452,0.22893,40.265744,0.115979,40.259125,0.0066190205,40.264231,0.0015124748
SDSS13072,0.22916,40.240237,0.122097,40.261594,-0.021357658,40.266701,-0.026464265
SDSS12881,0.2316,40.149821,0.118789,40.287654,-0.13783342,40.292761,-0.1429406
SDSS12971,0.2338,40.293871,0.115605,40.310936,-0.017064756,40.316043,-0.022172374
SDSS17223,0.23381,40.273987,0.118911,40.311041,-0.037053955,40.316149,-0.042161574
SDSS16350,0.23472,40.269667,0.116813,40.320612,-0.050944957,40.32572,-0.056052729
SDSS13511,0.23646,40.587645,0.117789,40.338818,0.24882653,40.343926,0.2437185
SDSS17884,0.23782,40.387909,0.116252,40.352963,0.034946576,40.358071,0.029838394
SDSS15868,0.24102,40.539081,0.116005,40.385954,0.15312741,40.391062,0.14801898
SDSS13506,0.24179,40.39325,0.122422,40.393832,-0.00058237779,40.398941,-0.0056908338
SDSS19023,0.24185,40.444511,0.114848,40.394445,0.050065424,40.399554,0.044956966
SDSS20111,0.24348,40.430191,0.118064,40.411044,0.019147846,40.416152,0.014039358
SDSS20088,0.24352,40.453641,0.113403,40.41145,0.042191638,40.416558,0.03708315
SDSS3377,0.24448,40.242662,0.115275,40.421176,-0.17851464,40.426285,-0.18362313
SDSS19990,0.24495,40.511808,0.119541,40.425926,0.085882227,40.431034,0.08077375
SDSS18486,0.2454,40.297824,0.114389,40.430465,-0.13264114,40.435573,-0.13774961
SDSS17464,0.24555,39.990067,0.116206,40.431976,-0.44190969,40.437085,-0.44701815
SDSS20039,0.24558,40.343133,0.118174,40.432279,-0.089145066,40.437387,-0.094253525
SDSS12977,0.24562,40.361734,0.115338,40.432681,-0.070947842,40.43779,-0.0760563
SDSS15466,0.24568,40.140192,0.120181,40.433286,-0.29309404,40.438394,-0.29820249
SDSS13835,0.24625,40.456468,0.114566,40.439019,0.017449223,40.444127,0.012340789
SDSS16352,0.24647,40.374093,0.115433,40.441228,-0.067134625,40.446336,-0.072243049
05D3mq,0.246492,40.460694,0.086206,40.441449,0.019245178,40.446557,0.014136755
SDSS15301,0.2466,40.097657,0.114128,40.442533,-0.34487515,40.447641,-0.34998357
SDSS15219,0.24695,40.564021,0.114812,40.446042,0.11797881,40.451151,0.11287041
SDSS15161,0.2485,40.380443,0.117491,40.46153,-0.081087412,40.466639,-0.086195703
SDSS3451,0.24851,40.265104,0.116195,40.46163,-0.19652608,40.466738,-0.20163437
SDSS16213,0.24857,40.517738,0.115731,40.462228,0.055510766,40.467336,0.05040248
SDSS17552,0.24862,40.526949,0.11712,40.462726,0.064223303,40.467834,0.059115022
SDSS15504,0.24947,40.594727,0.131353,40.471178,0.1235495,40.476286,0.1184413
SDSS3199,0.24961,40.809913,0.118164,40.472567,0.33734584,40.477675,0.33223765
SDSS16106,0.24973,40.447835,0.120462,40.473758,-0.025923062,40.478866,-0.031031239
SDSS13689,0.25012,40.639639,0.116581,40.477623,0.1620156,40.482731,0.15690746
SDSS5717,0.25037,40.680298,0.115791,40.480098,0.20019955,40.485206,0.19509145
06D3gn,0.250498,40.482986,0.086012,40.481365,0.0016211683,40.486473,-0.0034869229
SDSS13655,0.25104,40.541741,0.119872,40.48672,0.055020809,40.491828,0.049912783
SDSS5736,0.25174,40.452095,0.115824,40.493621,-0.041525634,40.498729,-0.046633566
SDSS15440,0.25205,40.344868,0.11822,40.496672,-0.15180363,40.50178,-0.15691152
SDSS9032,0.25249,40.47259,0.126796,40.500996,-0.028405714,40.506103,-0.033513538
SDSS14481,0.25351,40.821218,0.123692,40.510993,0.31022587,40.5161,0.30511821
SDSS18325,0.25356,40.55491,0.120869,40.511482,0.043428378,40.516589,0.038320726
SDSS9457,0.25539,40.496854,0.130119,40.529323,-0.03246842,40.53443,-0.037575733
SDSS1112,0.25611,40.583198,0.12482,40.53631,0.046888435,40.541417,0.041781271
SDSS17340,0.25617,40.378298,0.119755,40.536891,-0.15859323,40.541998,-0.16370038
SDSS12972,0.25655,40.62415,0.12587,40.540571,0.083579515,40.545678,0.078472447
SDSS19207,0.25721,40.552203,0.121726,40.54695,0.0052532146,40.552057,0.00014629532
SDSS6108,0.258,40.529043,0.117106,40.554566,-0.025522966,40.559673,-0.030629697
SDSS8046,0.25833,40.578072,0.119891,40.557741,0.020331083,40.562848,0.015224434
SDSS2017,0.26014,40.875812,0.122802,40.57509,0.30072289,40.580196,0.29561672
SDSS1253,0.26059,40.501317,0.120435,40.579386,-0.078069032,40.584492,-0.083175072
SDSS14298,0.2607,40.745154,0.117389,40.580435,0.16471966,40.585541,0.15961365
05D1hk,0.261984,40.466483,0.08739,40.592651,-0.12616736,40.597756,-0.13127298
04D3ez,0.263487,40.479682,0.08555,40.606881,-0.12719924,40.611986,-0.13230437
SDSS2422,0.26349,40.870308,0.115945,40.606909,0.26339848,40.612015,0.25829335
SDSS20345,0.26357,40.422532,0.11624,40.607665,-0.18513225,40.61277,-0.19023735
SDSS2943,0.26405,40.585497,0.117962,40.612192,-0.026695681,40.617297,-0.031800624
SDSS13099,0.26451,40.702204,0.119638,40.616524,0.08568019,40.621629,0.080575408
SDSS6315,0.26576,40.564483,0.114629,40.628261,-0.063777633,40.633365,-0.068881959
SDSS18463,0.26665,40.640702,0.120817,40.636587,0.0041153479,40.641691,-0.00098863925
SDSS19002,0.2671,40.604091,0.116111,40.640787,-0.036695943,40.64589,-0.041799754
SDSS19702,0.26821,40.71525,0.121714,40.651119,0.064131063,40.656222,0.059027702
06D3fp,0.268489,40.601963,0.08555,40.65371,-0.051746324,40.658813,-0.056849568
SDSS18945,0.26856,40.816638,0.118128,40.654369,0.16226955,40.659472,0.15716634
03D4cj,0.268624,40.51915,0.086242,40.654962,-0.13581283,40.660066,-0.14091601
SDSS6192,0.27044,40.645286,0.118685,40.671759,-0.026473166,40.676861,-0.031575562
SDSS15287,0.27258,40.638106,0.11421,40.691419,-0.05331348,40.696521,-0.058414874
SDSS15356,0.27447,40.540653,0.118156,40.708666,-0.1680133,40.713767,-0.17311375
SDSS4046,0.27544,40.676202,0.119548,40.717475,-0.041273212,40.722575,-0.046373151
SDSS16072,0.27549,40.672605,0.127184,40.717929,-0.045324284,40.723029,-0.050424196
SDSS12869,0.27653,40.572846,0.126014,40.727341,-0.15449518,40.73244,-0.15959453
SDSS4000,0.27745,40.839397,0.128283,40.73564,0.10375754,40.740739,0.098658704
SDSS17791,0.27749,41.403843,0.136665,40.736,0.66784305,40.741099,0.66274424
SDSS18485,0.27822,40.787053,0.117336,40.742566,0.044486103,40.747665,0.039387705
SDSS5957,0.27852,40.849748,0.118155,40.74526,0.10448746,40.750359,0.09938923
SDSS6196,0.27916,40.440035,0.11948,40.750999,-0.31096333,40.756096,-0.31606118
SDSS14261,0.27952,40.591051,0.121901,40.754221,-0.16316987,40.759319,-0.16826751
SDSS17809,0.28051,40.649922,0.122739,40.763063,-0.11314058,40.76816,-0.11823762
SDSS15584,0.28111,40.673262,0.11753,40.768408,-0.095145877,40.773505,-0.10024254
SDSS20227,0.28243,40.843344,0.11747,40.78013,0.063213903,40.785226,0.05811807
06D3dt,0.28251,40.937694,0.085709,40.780839,0.15685454,40.785935,0.15175876
SDSS20040,0.28351,40.737908,0.118366,40.789684,-0.051776428,40.794779,-0.056871557
03D4ag,0.28361,40.703312,0.086683,40.790567,-0.087254772,40.795662,-0.092349835
SDSS19128,0.28543,41.0361,0.119195,40.806586,0.22951413,40.81168,0.2244203
SDSS2165,0.28662,41.098935,0.11978,40.81701,0.28192482,40.822103,0.27683182
SDSS13757,0.28742,40.98442,0.118845,40.823995,0.16042493,40.829088,0.1553325
SDSS16402,0.28845,40.365663,0.116661,40.832963,-0.46730026,40.838055,-0.47239193
SDSS2789,0.28872,40.849092,0.124095,40.835309,0.013783385,40.8404,0.0086919058
SDSS21006,0.29021,40.763225,0.116557,40.848218,-0.084993244,40.853309,-0.090083603
SDSS19596,0.29135,40.819653,0.12122,40.858055,-0.038401384,40.863144,-0.043490861
03D3ba,0.291718,40.758243,0.093479,40.861222,-0.10297921,40.866311,-0.10806839
SDSS19818,0.29192,40.740149,0.124168,40.86296,-0.12281065,40.868049,-0.12789968
SDSS6249,0.29287,40.817174,0.119196,40.871115,-0.053941499,40.876203,-0.059029771
SDSS19027,0.2935,40.492773,0.120303,40.87651,-0.38373701,40.881598,-0.38882477
SDSS19604,0.29448,41.079777,0.140875,40.884881,0.19489583,40.889968,0.18980887
SDSS19794,0.29542,40.808155,0.134209,40.892887,-0.084731656,40.897973,-0.089817826
SDSS13610,0.29678,40.739246,0.117785,40.904428,-0.16518237,40.909513,-0.17026738
SDSS15057,0.29762,40.728258,0.131068,40.911532,-0.18327433,40.916617,-0.18835861
SDSS6137,0.29888,41.091218,0.124118,40.922155,0.16906352,40.927238,0.16398036
SDSS14735,0.30001,40.642617,0.119386,40.931646,-0.2890288,40.936728,-0.29411094
SDSS5391,0.30021,40.885371,0.128841,40.933322,-0.047951449,40.938404,-0.053033405
SDSS20245,0.30041,40.492716,0.125866,40.934998,-0.44228139,40.94008,-0.44736317
06D4dh,0.30159,41.067761,0.086081,40.944862,0.12289887,40.949943,0.11781819
SDSS7143,0.3024,41.002212,0.118973,40.951613,0.050598588,40.956693,0.045518673
SDSS12883,0.30569,40.541317,0.1459,40.978865,-0.43754814,40.983942,-0.44262486
SDSS15213,0.30632,41.040319,0.127264,40.984053,0.056266017,40.989129,0.051189933
SDSS19632,0.30702,41.04173,0.126631,40.989805,0.051924496,40.994881,0.04684912
SDSS6699,0.30915,41.183872,0.122358,41.007237,0.17663495,41.01231,0.17156177
SDSS5844,0.30929,41.122357,0.120483,41.008378,0.11397882,41.013451,0.10890579
SDSS16211,0.30933,40.890216,0.137464,41.008705,-0.11848876,41.013778,-0.12356174
SDSS21042,0.31065,40.901058,0.124489,41.019446,-0.11838788,41.024518,-0.12345947
SDSS15383,0.31088,41.04566,0.12279,41.021314,0.024346672,41.026385,0.019275328
SDSS6649,0.31288,41.020099,0.118305,41.037498,-0.017399337,41.042568,-0.022468505
SDSS20142,0.31468,40.743123,0.118861,41.051984,-0.30886125,41.057051,-0.31392841
SDSS15776,0.31646,41.028737,0.121555,41.066234,-0.037497386,41.071299,-0.042562518
SDSS18617,0.32038,41.090022,0.12816,41.09736,-0.0073377577,41.102421,-0.01239826
SDSS7475,0.32045,41.20966,0.117246,41.097913,0.11174728,41.102973,0.10668686
05D2ab,0.324532,41.145546,0.086121,41.12995,0.015596009,41.135005,0.010540646
SDSS6924,0.3264,41.049397,0.11903,41.144488,-0.095091249,41.149541,-0.10014422
SDSS13830,0.32837,40.91823,0.134054,41.159738,-0.24150705,41.164788,-0.24655744
SDSS14456,0.32837,40.95845,0.124052,41.159738,-0.20128744,41.164788,-0.20633784
SDSS13934,0.32838,41.451418,0.136536,41.159815,0.29160292,41.164865,0.28655253
SDSS4241,0.33051,41.221878,0.12568,41.176208,0.045669848,41.181256,0.040622305
03D1fc,0.330932,41.057624,0.086437,41.179445,-0.12182093,41.184492,-0.1268679
SDSS4679,0.33103,40.994302,0.136212,41.180196,-0.18589358,41.185243,-0.19094042
SDSS20106,0.33136,41.312067,0.135299,41.182723,0.12934378,41.18777,0.12429739
SDSS16093,0.33436,41.254482,0.132618,41.205596,0.048885489,41.210638,0.043843243
04D3kr,0.337534,41.247685,0.086047,41.229592,0.01809299,41.234629,0.013055261
SDSS2533,0.3388,41.30944,0.129777,41.239105,0.070335246,41.244141,0.065299357
04D3nh,0.34052,41.285303,0.0859,41.251978,0.0333254,41.257011,0.028292044
03D1bp,0.345928,41.411108,0.087263,41.292069,0.11903962,41.297094,0.11401449
05D2ie,0.349557,41.497971,0.086821,41.31865,0.17932109,41.32367,0.17430168
04D2mc,0.34956,41.044308,0.089792,41.318672,-0.27436387,41.323692,-0.27938327
05D2hc,0.35156,41.523688,0.086351,41.333214,0.19047466,41.33823,0.18545849
SDSS19067,0.35346,41.102633,0.125157,41.346958,-0.24432553,41.351971,-0.24933858
05D2mp,0.355261,41.574652,0.088265,41.359924,0.21472764,41.364934,0.20971758
03D3bl,0.35582,41.349554,0.087008,41.363936,-0.014382089,41.368945,-0.019391207
04D3fk,0.358336,41.265612,0.086303,41.381923,-0.11631109,41.386928,-0.12131593
04D2fs,0.35857,41.300602,0.086485,41.38359,-0.082988145,41.388595,-0.087992588
SDSS4577,0.36193,41.385403,0.13291,41.407417,-0.022014139,41.412416,-0.027012741
SDSS15704,0.36397,41.634053,0.127982,41.421785,0.21226802,41.42678,0.20727303
SDSS13136,0.36441,41.757434,0.131873,41.424874,0.33255916,41.429869,0.32756496
SDSS16232,0.36554,41.511378,0.137024,41.432792,0.078585189,41.437785,0.073593018
04D1hd,0.367904,41.603385,0.086082,41.449285,0.15409996,41.454273,0.14911209
SDSS14397,0.36941,41.776703,0.131466,41.459741,0.31696174,41.464726,0.31197664
SDSS18091,0.37013,41.457867,0.138604,41.464726,-0.0068593749,41.46971,-0.011843139
05D4bm,0.370511,41.502519,0.086476,41.46736,0.035158341,41.472343,0.030175287
05D3jr,0.370531,41.401449,0.086626,41.467499,-0.066049576,41.472482,-0.071032593
04D2cf,0.370586,41.434925,0.095747,41.467879,-0.032953591,41.472861,-0.037936506
03D3ay,0.371443,41.572252,0.091326,41.473794,0.098458431,41.478775,0.09347712
05D4fo,0.371508,41.548853,0.086225,41.474242,0.074610787,41.479223,0.069629597
05D4cw,0.373513,41.478103,0.086768,41.48803,-0.0099273724,41.493008,-0.014904776
SDSS15756,0.37835,42.112175,0.135103,41.521017,0.59115791,41.525985,0.58618983
SDSS7779,0.37986,41.476242,0.118539,41.531235,-0.054993409,41.5362,-0.059958512
SDSS11206,0.38026,41.674685,0.138121,41.533936,0.14074913,41.5389,0.13578482
SDSS15456,0.38047,41.140725,0.12548,41.535353,-0.39462778,41.540317,-0.39959167
SDSS18721,0.39135,41.584881,0.148848,41.607791,-0.022909716,41.612732,-0.027851355
05D4ff,0.400485,41.549539,0.087548,41.667196,-0.11765714,41.672118,-0.12257906
SDSS19757,0.40128,41.390726,0.134806,41.672307,-0.28158021,41.677227,-0.28650037
06D3ed,0.404549,41.81249,0.086483,41.693225,0.11926582,41.698137,0.11435297
05D4dt,0.405478,41.859724,0.086962,41.699141,0.16058323,41.704052,0.15567248
06D4cq,0.40947,41.784188,0.086547,41.724422,0.05976584,41.729324,0.054864211
04D2fp,0.416632,41.805162,0.087194,41.769217,0.035945538,41.774102,0.031060698
05D2dw,0.418633,41.721512,0.087692,41.781605,-0.060092918,41.786485,-0.064972971
05D3cf,0.419569,41.926438,0.087595,41.787382,0.13905623,41.792259,0.13417842
04D4gg,0.422452,41.692885,0.08807,41.805099,-0.1122138,41.80997,-0.1170846
05D2cb,0.428646,42.081888,0.089103,41.84279,0.23909816,41.847646,0.23424267
04D1rh,0.434861,41.900171,0.087188,41.880108,0.020062999,41.884948,0.015223262
06D4co,0.435446,41.663732,0.086944,41.883595,-0.21986298,41.888433,-0.22470121
06D3df,0.442548,41.957619,0.08709,41.92559,0.032028678,41.93041,0.027208942
06D2gb,0.443668,41.858169,0.091594,41.932156,-0.073986931,41.936973,-0.078803705
03D3aw,0.449562,42.09792,0.091912,41.966459,0.13146123,41.97126,0.12666024
04D3gt,0.451556,41.668287,0.087828,41.97797,-0.30968274,41.982765,-0.31447832
04D2gb,0.451681,41.642176,0.088233,41.97869,-0.3365141,41.983485,-0.34130935
03D3cd,0.461274,42.021038,0.095948,42.033407,-0.012368478,42.038176,-0.017137172
05D3lc,0.461564,42.062843,0.087413,42.035045,0.027797853,42.039813,0.023029975
03D4au,0.466414,42.51309,0.09035,42.062294,0.45079691,42.067048,0.44604278
04D4jr,0.468406,42.095314,0.087451,42.073409,0.021904334,42.078158,0.01715591
04D4ju,0.470398,42.396229,0.088446,42.084482,0.31174759,42.089224,0.3070049
05D3mx,0.470573,42.080709,0.088704,42.085452,-0.0047434589,42.090194,-0.0094856376
04D3df,0.470586,41.962434,0.087988,42.085524,-0.12309061,42.090266,-0.12783275
05D2bv,0.475707,42.086819,0.087947,42.11378,-0.026960755,42.118507,-0.031687976
05D3dd,0.480568,42.060041,0.088055,42.140342,-0.08030174,42.145055,-0.085014593
05D2ac,0.480704,42.047102,0.087736,42.141082,-0.093979451,42.145794,-0.0986919
05D1ix,0.4888,42.207458,0.08839,42.184762,0.022696177,42.18945,0.018008098
03D1ax,0.494795,42.21649,0.08811,42.216677,-0.00018681297,42.221346,-0.004856509
05D4af,0.497379,42.25339,0.088758,42.230322,0.023067371,42.234984,0.018405686
06D2bk,0.500728,42.376417,0.089131,42.24791,0.12850663,42.252561,0.12385541
03D1au,0.503084,42.269525,0.088031,42.260218,0.0093068893,42.264862,0.0046630737
05D4av,0.507371,42.213205,0.089015,42.282476,-0.069271465,42.287106,-0.07390169
05D2dy,0.511746,42.495409,0.088554,42.305012,0.19039754,42.309628,0.18578132
04D1pg,0.513793,42.442246,0.090087,42.315495,0.12675176,42.320104,0.12214215
04D4in,0.514353,42.363951,0.088897,42.318356,0.045594943,42.322963,0.040987144
04D2mj,0.514746,42.560964,0.090306,42.320362,0.24060278,42.324968,0.23599626
05D3ci,0.515587,42.452603,0.106833,42.32465,0.12795326,42.329254,0.12334946
06D3el,0.519611,42.471136,0.088502,42.345078,0.12605787,42.349669,0.12146719
04D2gc,0.522762,42.482671,0.089115,42.360972,0.12169852,42.365552,0.1171182
06D2ca,0.532765,42.392305,0.08987,42.410843,-0.018538577,42.41539,-0.023085567
06D2cc,0.533766,42.173706,0.09473,42.415786,-0.24208044,42.42033,-0.24662406
05D4ek,0.534335,42.165507,0.090128,42.418592,-0.25308468,42.423133,-0.25762638
05D4be,0.535327,42.500563,0.08873,42.423476,0.077086529,42.428015,0.072548185
05D2eb,0.535771,42.338122,0.091256,42.42566,-0.08753818,42.430197,-0.092075021
04D4bq,0.548325,42.164539,0.09145,42.486712,-0.32217303,42.491206,-0.32666684
06D4bo,0.550315,42.509848,0.089299,42.49627,0.013578588,42.500756,0.0090916868
04D3hn,0.552605,42.229237,0.089654,42.507228,-0.27799119,42.511707,-0.28247011
06D2ck,0.553797,42.561602,0.091857,42.512916,0.048686057,42.51739,0.044211312
05D1ee,0.557743,42.486901,0.090291,42.531662,-0.044761681,42.536123,-0.04922256
05D1kl,0.558743,42.87907,0.092898,42.536393,0.34267656,42.540851,0.33821921
04D1hx,0.558746,42.443857,0.089573,42.536407,-0.09255013,42.540865,-0.09700747
05D1cc,0.562751,42.563852,0.090329,42.555276,0.0085753562,42.55972,0.0041322105
05D1dn,0.564741,42.574373,0.089709,42.564605,0.009767924,42.569041,0.0053318666
05D2dt,0.575823,42.622597,0.091807,42.616,0.0065964773,42.620397,0.002200314
06D3et,0.576612,42.548631,0.090075,42.619624,-0.070993235,42.624018,-0.075386531
03D4gf,0.578292,42.558,0.090072,42.627325,-0.069325181,42.631712,-0.073712361
05D1dx,0.578745,42.561135,0.089343,42.629398,-0.06826213,42.633783,-0.072647658
05D3jq,0.5796,42.549007,0.08931,42.633306,-0.084298508,42.637688,-0.088680916
05D3gp,0.580604,42.693325,0.09835,42.637888,0.055437206,42.642267,0.051058468
03D1aw,0.580724,42.83908,0.090132,42.638435,0.20064534,42.642813,0.19626704
04D1jg,0.582932,42.685053,0.09012,42.648484,0.036568963,42.652855,0.032198756
05D4ej,0.58329,42.873994,0.090793,42.65011,0.22388327,42.654479,0.21951438
04D1sa,0.583743,42.757778,0.091595,42.652167,0.1056113,42.656534,0.10124407
04D1kj,0.583743,42.611188,0.089495,42.652167,-0.040978997,42.656534,-0.045346225
05D1hm,0.585743,42.833794,0.092677,42.661227,0.17256686,42.665587,0.16820699
05D4bf,0.587285,42.693483,0.091452,42.668192,0.025290503,42.672546,0.020936326
04D1oh,0.588721,42.650725,0.091211,42.674664,-0.023938711,42.679012,-0.028287578
03D4gg,0.59028,42.586162,0.092935,42.681672,-0.095510388,42.686015,-0.099853477
04D2mh,0.591835,42.589256,0.090444,42.688646,-0.09938978,42.692983,-0.10372709
05D3lr,0.600603,42.592308,0.094433,42.727648,-0.13533959,42.731953,-0.1396441
05D4ef,0.603272,42.864607,0.092267,42.739414,0.1251927,42.743709,0.12089825
03D4dy,0.608261,42.760878,0.090819,42.761277,-0.0003989069,42.765553,-0.0046744593
05D2he,0.60986,42.798854,0.091831,42.768249,0.03060483,42.772518,0.026335361
04D3do,0.610643,42.861051,0.090588,42.771656,0.089394423,42.775923,0.085127937
03D1dt,0.610712,42.465879,0.092877,42.771956,-0.3060776,42.776223,-0.31034382
04D4an,0.611252,42.951574,0.095195,42.774304,0.17727035,42.778568,0.17300618
05D1ck,0.615698,42.769514,0.092238,42.793557,-0.024042511,42.797804,-0.028289665
04D3co,0.620632,42.825478,0.093091,42.814771,0.010707573,42.818999,0.0064794031
04D2an,0.621874,42.72454,0.092366,42.820085,-0.095545946,42.824309,-0.09976932
03D4dh,0.625233,42.729026,0.091453,42.83441,-0.1053837,42.83862,-0.10959407
04D4fx,0.627239,42.802545,0.092195,42.84293,-0.040384328,42.847132,-0.044586905
05D1cb,0.630699,42.711701,0.091576,42.857565,-0.14586389,42.861754,-0.15005298
