Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSF,residual_QRSF
sn1999ac,0.01006,33.076313,0.174566,33.265492,-0.18917895,33.11329,-0.036976602
sn2004s,0.010291,33.121922,0.173593,33.315167,-0.19324473,33.163212,-0.04128939
sn1997do,0.01055,33.243687,0.17309,33.369568,-0.12588085,33.217881,0.025805581
sn2002dp,0.010888,33.394833,0.169021,33.438598,-0.04376526,33.28727,0.10756249
sn2006bh,0.011184,33.418357,0.166533,33.497327,-0.07897044,33.346313,0.072043994
sn2005al,0.012317,34.043068,0.16145,33.70872,0.33434837,33.558894,0.48417476
sn2001ep,0.013324,33.655632,0.158624,33.881011,-0.22537925,33.732244,-0.076612188
sn1999dq,0.013533,33.4709,0.158393,33.91515,-0.44424939,33.7666,-0.29570011
sn2002ha,0.013652,33.839835,0.157774,33.934355,-0.09451976,33.78593,0.053905709
sn2001bt,0.014151,33.705787,0.157186,34.013122,-0.30733488,33.86522,-0.15943313
sn1997e,0.014256,33.855479,0.1564,34.029345,-0.17386644,33.881554,-0.026075528
sn1992al,0.014411,33.837916,0.156643,34.05308,-0.21516409,33.90545,-0.067533853
sn1999dk,0.01444,33.737233,0.157099,34.057493,-0.32026015,33.909893,-0.17265958
sn2005bo,0.014467,33.887535,0.154784,34.061594,-0.17405918,33.914021,-0.02648614
sn2001fe,0.014575,34.021211,0.155333,34.07792,-0.056708999,33.930461,0.090749576
sn2006n,0.0147,34.085762,0.155008,34.096666,-0.010904134,33.94934,0.13642255
sn2005kc,0.01496,33.980505,0.153548,34.135162,-0.15465685,33.988105,-0.00759941
sn2005el,0.015154,34.106559,0.153758,34.163455,-0.056896042,34.016602,0.089956416
sn2004eo,0.015469,33.821144,0.153515,34.208642,-0.38749875,34.062118,-0.24097416
sn2001en,0.015482,33.99586,0.154168,34.210488,-0.21462717,34.063977,-0.068116341
sn2001cn,0.015487,33.856674,0.153742,34.211197,-0.3545223,34.064691,-0.20801675
sn2001bf,0.015504,33.940834,0.153374,34.213607,-0.27277263,34.067119,-0.12628502
sn2001cz,0.015554,33.994274,0.153417,34.220679,-0.22640504,34.074244,-0.07996997
sn1999aa,0.015573,34.202002,0.153276,34.223361,-0.021358896,34.076946,0.1250563
