ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSF_tt,residual_QRSF_tt,Dl_QRSF_te,residual_QRSF_te,Dl_QRSF_ee,residual_QRSF_ee
32,1097.01,1.51224,0.0643557,1092.1,4.90824,1.92553,-0.413297,0.0266886,0.0376671,1130.25,-33.2356,1.88819,-0.375948,0.0278279,0.0365278
37,1180.26,3.11711,0.0649424,1179.07,1.18969,1.89196,1.22514,0.0438716,0.0210708,1225.3,-45.038,1.79624,1.32087,0.0457089,0.0192335
42,1426.97,0.820244,0.0699042,1271.42,155.549,1.60559,-0.785343,0.0672331,0.00267105,1327.05,99.9211,1.44571,-0.625467,0.0699241,-1.99647e-05
47,1364.66,1.07013,0.141281,1367.73,-3.0707,1.0419,0.0282247,0.0972475,0.044033,1433.83,-69.1673,0.803449,0.26668,0.101191,0.04009
52,1329.06,1.08312,0.146964,1468.74,-139.683,0.153642,0.929475,0.134546,0.0124183,1546.18,-217.123,-0.189719,1.27284,0.139901,0.0070632
57,1607.2,-3.82399,0.193005,1574.11,33.091,-1.05388,-2.77011,0.179192,0.013813,1663.73,-56.5311,-1.50993,-2.31407,0.186269,0.00673563
62,1663.41,-4.29778,0.296409,1684.95,-21.534,-2.59948,-1.6983,0.231134,0.0652752,1787.54,-124.122,-3.1977,-1.10008,0.240128,0.056281
67,1838.4,-2.04066,0.331388,1800.97,37.4303,-4.47878,2.43811,0.289905,0.041483,1917.24,-78.8406,-5.22894,3.18827,0.301041,0.0303467
72,1974.24,-8.54866,0.356963,1922.17,52.0749,-6.66995,-1.87872,0.354846,0.00211743,2052.78,-78.5384,-7.58862,-0.960047,0.368346,-0.0113827
77,1765.67,-7.23417,0.448396,2050.13,-284.457,-9.16562,1.93145,0.425104,0.023292,2195.6,-429.93,-10.2683,3.03416,0.44108,0.00731604
82,2168.04,-9.89267,0.522364,2184.05,-16.0137,-11.9244,2.03169,0.499335,0.0230286,2345.03,-176.994,-13.219,3.32634,0.517893,0.00447044
87,2330.99,-12.7208,0.489592,2324.15,6.84194,-14.9026,2.18181,0.576134,-0.0865427,2501.16,-170.169,-16.3965,3.67569,0.597342,-0.10775
92,2446.65,-19.2047,0.789127,2469.44,-22.7896,-18.0469,-1.15778,0.654007,0.13512,2662.78,-216.129,-19.7448,0.540069,0.67782,0.111307
97,2484.46,-19.0476,0.57472,2620.12,-135.662,-21.3074,2.2598,0.731188,-0.156468,2830.14,-345.681,-23.2101,4.16252,0.757519,-0.182799
