name,redshift,observable_type,value,error,pred_lcdm,chi2_contrib_lcdm,pred_QRSF,chi2_contrib_QRSF
BOSS DR12 z=0.38 (DM/rs),0.38,DM_over_rs,10.2341,0.169131,9.52141,17.7547,19.327,2890.43
BOSS DR12 z=0.38 (DH/rs),0.38,DH_over_rs,24.9806,0.728504,22.4849,11.7357,49.9422,1174.04
BOSS DR12 z=0.38 (DV/rs),0.38,DV_over_rs,9.98071,0.113804,9.18387,49.0262,19.21,6576.89
BOSS DR12 z=0.51 (DM/rs),0.51,DM_over_rs,13.3659,0.203655,12.334,25.6771,25.6807,3656.45
BOSS DR12 z=0.51 (DH/rs),0.51,DH_over_rs,22.3166,0.571716,20.8004,7.0328,47.7041,1971.87
BOSS DR12 z=0.51 (DV/rs),0.51,DV_over_rs,12.6687,0.128874,11.7296,53.1009,25.222,9488.17
BOSS DR12 z=0.61 (DM/rs),0.61,DM_over_rs,15.6089,0.250931,14.3521,25.0833,30.351,3451.53
BOSS DR12 z=0.61 (DH/rs),0.61,DH_over_rs,20.4986,0.518214,19.5738,3.18512,45.674,2360.12
BOSS DR12 z=0.61 (DV/rs),0.61,DV_over_rs,14.4966,0.150063,13.4983,44.2562,29.4973,9992.5
