Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSF,residual_QRSF
sn1999ac,0.01006,33.076313,0.174566,33.382007,-0.30569386,33.114891,-0.038577566
sn2004s,0.010291,33.121922,0.173593,33.431667,-0.30974508,33.164672,-0.042749341
sn1997do,0.01055,33.243687,0.17309,33.486052,-0.24236534,33.219188,0.024499116
sn2002dp,0.010888,33.394833,0.169021,33.555062,-0.16022859,33.288372,0.10646059
sn2006bh,0.011184,33.418357,0.166533,33.613772,-0.19541528,33.347236,0.071120671
sn2005al,0.012317,34.043068,0.16145,33.825095,0.21797376,33.559141,0.4839277
sn2001ep,0.013324,33.655632,0.158624,33.997323,-0.34169111,33.731889,-0.076257547
sn1999dq,0.013533,33.4709,0.158393,34.031449,-0.56054833,33.766122,-0.2952219
sn2002ha,0.013652,33.839835,0.157774,34.050647,-0.21081137,33.785381,0.054454142
sn2001bt,0.014151,33.705787,0.157186,34.129382,-0.4235954,33.864375,-0.15858786
sn1997e,0.014256,33.855479,0.1564,34.145599,-0.29012037,33.880646,-0.025167473
sn1992al,0.014411,33.837916,0.156643,34.169325,-0.33140848,33.904451,-0.066534795
sn1999dk,0.01444,33.737233,0.157099,34.173736,-0.43650277,33.908877,-0.17164372
sn2005bo,0.014467,33.887535,0.154784,34.177835,-0.29030017,33.91299,-0.025454684
sn2001fe,0.014575,34.021211,0.155333,34.194154,-0.17294319,33.929365,0.09184582
sn2006n,0.0147,34.085762,0.155008,34.212893,-0.12713048,33.948169,0.13759344
sn2005kc,0.01496,33.980505,0.153548,34.251372,-0.27086719,33.986781,-0.0062761772
sn2005el,0.015154,34.106559,0.153758,34.279653,-0.17309419,34.015163,0.091395553
sn2004eo,0.015469,33.821144,0.153515,34.324821,-0.50367738,34.060493,-0.23934969
sn2001en,0.015482,33.99586,0.154168,34.326665,-0.33080499,34.062344,-0.066484103
sn2001cn,0.015487,33.856674,0.153742,34.327374,-0.4706998,34.063056,-0.20638153
sn2001bf,0.015504,33.940834,0.153374,34.329783,-0.38894906,34.065474,-0.12463966
sn2001cz,0.015554,33.994274,0.153417,34.336853,-0.34257834,34.072569,-0.07829493
sn1999aa,0.015573,34.202002,0.153276,34.339533,-0.13753102,34.07526,0.12674256
sn1994s,0.015664,34.062095,0.154751,34.352328,-0.29023273,34.088101,-0.026005908
sn2004ey,0.015678,34.159785,0.151905,34.35429,-0.1945048,34.09007,0.069714876
sn2001v,0.015791,33.855547,0.152742,34.370062,-0.51451573,34.1059,-0.25035326
sn2006td,0.015999,34.303185,0.153171,34.398802,-0.095616522,34.134748,0.16843726
sn1996bv,0.016966,34.007209,0.153258,34.527745,-0.52053588,34.26419,-0.25698111
sn2006ax,0.017387,34.395547,0.148936,34.581627,-0.1860804,34.31829,0.077256944
sn1998v,0.01745,34.146628,0.150702,34.58958,-0.44295156,34.326275,-0.17964646
sn2000dk,0.017483,34.199729,0.150122,34.593734,-0.39400492,34.330446,-0.13071662
sn1998ef,0.017672,33.973923,0.150611,34.617377,-0.64345479,34.354187,-0.38026432
sn2007ci,0.018599,34.476068,0.149282,34.72984,-0.25377214,34.467129,0.0089392898
sn1992bo,0.018902,34.68293,0.149087,34.765403,-0.082473098,34.502848,0.18008274
sn2002kf,0.019581,34.742169,0.147459,34.843094,-0.10092403,34.58089,0.16127995
sn2006ej,0.02039,34.748902,0.147727,34.932262,-0.18335991,34.670476,0.07842588
sn2005ki,0.020396,34.69654,0.145393,34.93291,-0.23636956,34.671127,0.025413119
sn1992bc,0.020792,34.611741,0.14683,34.975281,-0.3635394,34.713703,-0.10196136
sn2003w,0.020997,34.619272,0.145587,34.996904,-0.37763186,34.735431,-0.11615942
sn2002jy,0.021541,35.043998,0.145405,35.05329,-0.0092928139,34.792099,0.25189868
sn2007bc,0.021706,34.823241,0.146331,35.070115,-0.24687344,34.809009,0.014231852
sn2006bq,0.021956,34.890393,0.145024,35.09537,-0.20497719,34.834393,0.055999862
sn2008bf,0.022068,34.948236,0.144685,35.106591,-0.15835524,34.845673,0.10256304
sn1995ak,0.022399,34.68654,0.149213,35.139433,-0.452893,34.878685,-0.19214519
sn2006et,0.022466,34.775523,0.145994,35.146021,-0.37049809,34.885309,-0.10978549
sn2006mp,0.022629,35.162767,0.145184,35.161971,0.00079633031,34.901343,0.26142412
