ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSF_tt,residual_QRSF_tt,Dl_QRSF_te,residual_QRSF_te,Dl_QRSF_ee,residual_QRSF_ee
32,1097.01,1.51224,0.0643557,1069.5,27.5138,1.9547,-0.442466,0.0261739,0.0381818,1117.49,-20.4803,1.8921,-0.379861,0.0270859,0.0372698
37,1180.26,3.11711,0.0649424,1151.39,28.8724,1.94291,1.17419,0.0430707,0.0218717,1210.18,-29.9209,1.82642,1.29068,0.0444582,0.0204842
42,1426.97,0.820244,0.0699042,1237.85,189.12,1.69892,-0.878672,0.0659907,0.00391349,1309.17,117.802,1.50261,-0.68237,0.0681342,0.00176997
47,1364.66,1.07013,0.141281,1327.76,36.8987,1.17066,-0.100527,0.0954829,0.0457976,1412.75,-48.0931,0.895152,0.174977,0.0986004,0.0426802
52,1329.06,1.08312,0.146964,1421.76,-92.6941,0.347295,0.735823,0.132088,0.0148763,1521.68,-192.62,-0.053595,1.13671,0.136402,0.0105618
57,1607.2,-3.82399,0.193005,1519.61,87.5825,-0.794199,-3.02979,0.175877,0.017128,1635.48,-28.2855,-1.32342,-2.50057,0.181683,0.0113214
62,1663.41,-4.29778,0.296409,1622.49,40.9268,-2.26658,-2.0312,0.226857,0.069552,1755.29,-91.8755,-2.94667,-1.35111,0.234364,0.0620448
67,1838.4,-2.04066,0.331388,1730.15,108.257,-4.05473,2.01407,0.284506,0.0468817,1880.74,-42.3339,-4.91194,2.87128,0.294009,0.0373791
72,1974.24,-8.54866,0.356963,1842.49,131.757,-6.14952,-2.39914,0.348185,0.008778,2011.77,-37.5253,-7.1965,-1.35216,0.359936,-0.00297302
77,1765.67,-7.23417,0.448396,1961.26,-195.592,-8.53885,1.30468,0.417051,0.0313449,2149.89,-384.225,-9.79605,2.56188,0.431291,0.0171051
82,2168.04,-9.89267,0.522364,2085.7,82.3384,-11.1794,1.28672,0.489768,0.0325954,2294.39,-126.352,-12.6674,2.77472,0.506755,0.0156084
87,2330.99,-12.7208,0.489592,2215.96,115.034,-14.0328,1.31197,0.564938,-0.0753459,2445.38,-114.381,-15.7636,3.0428,0.584913,-0.0953209
92,2446.65,-19.2047,0.789127,2351.14,95.5072,-17.0492,-2.15549,0.641066,0.148061,2601.75,-155.097,-19.0299,-0.174799,0.664222,0.124905
97,2484.46,-19.0476,0.57472,2491.49,-7.03749,-20.1784,1.13088,0.716447,-0.141727,2763.71,-279.254,-22.417,3.3694,0.742929,-0.168209
104,2951.15,-28.1287,0.830793,2697.04,254.112,-24.6481,-3.48058,0.817366,0.0134278,3000.01,-48.8558,-27.2543,-0.874422,0.848657,-0.017864
113,3221.96,-31.7919,0.924375,2974.89,247.068,-30.2917,-1.50028,0.932172,-0.00779756,3317.76,-95.7958,-33.3665,1.57456,0.969726,-0.0453518
122,3382.73,-35.701,1.11192,3263.98,118.746,-35.4503,-0.250653,1.02144,0.0904785,3646.58,-263.851,-38.9697,3.26871,1.06502,0.0468974
131,3592.1,-41.5613,1.10666,3558.98,33.1183,-39.7267,-1.83451,1.07747,0.0291869,3980.67,-388.567,-43.6468,2.08551,1.12639,-0.0197285
140,4229.84,-43.6625,1.09668,3854.01,375.822,-42.749,-0.913575,1.09547,0.00120868,4313.58,-83.7393,-47.0046,3.34204,1.14854,-0.0518588
149,4251.39,-45.0365,1.00578,4143.5,107.887,-44.1989,-0.83764,1.0747,-0.0689158,4638.88,-387.487,-48.6992,3.66269,1.13018,-0.124396
158,4778.71,-49.241,1.07943,4419.96,358.75,-43.8052,-5.43579,1.01882,0.0606063,4948.24,-169.527,-48.4343,-0.806631,1.07441,0.00501972
167,4844.8,-45.9645,0.855441,4677.29,167.504,-41.3737,-4.59085,0.936347,-0.0809058,5235.02,-390.224,-46.0001,0.0356195,0.989186,-0.133745
176,5120.63,-43.3901,0.96559,4908.29,212.337,-36.7911,-6.59899,0.84061,0.12498,5491.58,-370.958,-41.271,-2.11913,0.887305,0.0782844
185,5373.97,-30.3906,0.835251,5106.78,267.191,-30.0432,-0.347396,0.749591,0.0856597,5711.32,-337.349,-34.2213,3.83071,0.786209,0.0490424
194,5542.7,-18.1436,0.793541,5267.46,275.243,-21.2153,3.07175,0.685202,0.108338,5888.47,-345.765,-24.9287,6.7851,0.707282,0.0862587
203,5446.22,-7.21464,0.694054,5386.07,60.1533,-10.4933,3.27867,0.672313,0.021741,6018.32,-572.1,-13.5718,6.35712,0.674877,0.0191769
212,5636.34,2.53847,0.877642,5458.38,177.962,1.84832,0.690153,0.737486,0.140156,6096.38,-460.039,-0.426586,2.96505,0.715314,0.162329
221,5816.48,17.9047,0.874199,5483.34,333.137,15.4502,2.45444,0.907472,-0.0332735,6121.6,-305.118,14.1327,3.77197,0.855526,0.018673
230,5684.66,26.6053,1.23818,5460.18,224.477,29.8854,-3.28014,1.20771,0.0304746,6093.23,-408.569,29.6631,-3.05783,1.12117,0.117012
239,5776.16,46.2991,1.78071,5389.47,386.683,44.6752,1.62388,1.66061,0.120105,6011.87,-235.718,45.67,0.629101,1.53488,0.24583
248,5435.47,50.6637,2.10983,5273.18,162.281,59.3038,-8.6401,2.28411,-0.17428,5879.53,-444.067,61.6216,-10.9579,2.11482,-0.00499159
257,5228,71.5358,3.13386,5114.61,113.383,73.2414,-1.70564,3.09011,0.0437553,5699.57,-471.576,76.9707,-5.43494,2.87319,0.260671
266,5090.29,86.4306,3.86066,4917.97,172.323,85.9629,0.467741,4.08292,-0.22226,5476.61,-386.314,91.1641,-4.73346,3.81536,0.0453019
275,5096.49,106.963,5.31265,4689.34,407.149,96.9881,9.97465,5.25889,0.0537564,5217.29,-120.8,103.688,3.27452,4.93906,0.37359
284,4546.18,102.707,5.82483,4434.84,111.347,105.878,-3.17105,6.60562,-0.780792,4928.3,-382.114,114.07,-11.3638,6.23328,-0.408456
293,4371.25,117.073,8.21385,4161.59,209.659,112.267,4.8053,8.10202,0.111833,4617.33,-246.08,121.913,-4.84028,7.67835,0.535505
