name,redshift,observable_type,value,error,pred_lcdm,chi2_contrib_lcdm,pred_QRSF,chi2_contrib_QRSF
BOSS DR12 z=0.38 (DM/rs),0.38,DM_over_rs,10.2341,0.169131,10.1736,0.127614,19.568,3045.67
BOSS DR12 z=0.38 (DH/rs),0.38,DH_over_rs,24.9806,0.728504,23.7834,2.70069,50.605,1237.21
BOSS DR12 z=0.38 (DV/rs),0.38,DV_over_rs,9.98071,0.113804,9.77995,3.11194,19.4546,6930.21
BOSS DR12 z=0.51 (DM/rs),0.51,DM_over_rs,13.3659,0.203655,13.1402,1.22852,26.0949,3906.58
BOSS DR12 z=0.51 (DH/rs),0.51,DH_over_rs,22.3166,0.571716,21.8786,0.586795,49.7845,2308.3
BOSS DR12 z=0.51 (DV/rs),0.51,DV_over_rs,12.6687,0.128874,12.4432,3.06192,25.8578,10473.7
BOSS DR12 z=0.61 (DM/rs),0.61,DM_over_rs,15.6089,0.250931,15.259,1.94467,31.0374,3780.43
BOSS DR12 z=0.61 (DH/rs),0.61,DH_over_rs,20.4986,0.518214,20.5109,0.000560226,49.051,3035.75
BOSS DR12 z=0.61 (DV/rs),0.61,DV_over_rs,14.4966,0.150063,14.282,2.04579,30.6608,11602.7
