ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSFv3_tt,residual_QRSFv3_tt,Dl_QRSFv3_te,residual_QRSFv3_te,Dl_QRSFv3_ee,residual_QRSFv3_ee
32,1097.01,1.51224,0.0643557,1092.14,4.86955,1.92371,-0.411471,0.026805,0.0375508,1631.3,-534.29,1.06786,0.444375,0.0198381,0.0445176
37,1180.26,3.11711,0.0649424,1178.79,1.47872,1.88767,1.22944,0.0440571,0.0208853,1857.23,-676.964,0.74876,2.36835,0.032647,0.0322954
42,1426.97,0.820244,0.0699042,1270.78,156.194,1.59894,-0.778691,0.0674948,0.0024094,2100.09,-673.119,0.154214,0.66603,0.0501693,0.0197348
47,1364.66,1.07013,0.141281,1366.71,-2.04856,1.03027,0.0398594,0.0975855,0.0436951,2355.7,-991.04,-0.742354,1.81248,0.0731435,0.0681371
52,1329.06,1.08312,0.146964,1467.3,-138.237,0.14023,0.942888,0.134957,0.0120072,2623.36,-1294.3,-1.98522,3.06834,0.102018,0.0449459
57,1607.2,-3.82399,0.193005,1572.2,34.9948,-1.07163,-2.75236,0.179653,0.0133515,2900.93,-1293.73,-3.58146,-0.242535,0.137268,0.0557369
62,1663.41,-4.29778,0.296409,1682.54,-19.1221,-2.61968,-1.6781,0.231624,0.0647851,3188.66,-1525.25,-5.56277,1.26499,0.179145,0.117264
67,1838.4,-2.04066,0.331388,1798.01,40.3912,-4.49951,2.45884,0.290375,0.0410127,3485.52,-1647.11,-7.92639,5.88573,0.227767,0.103621
72,1974.24,-8.54866,0.356963,1918.59,55.6563,-6.69007,-1.85859,0.35522,0.00174321,3790.54,-1816.3,-10.6657,2.11701,0.283035,0.0739288
77,1765.67,-7.23417,0.448396,2045.9,-280.23,-9.18175,1.94758,0.425301,0.0230944,4105.35,-2339.68,-13.7859,6.55177,0.344769,0.103627
82,2168.04,-9.89267,0.522364,2179.14,-11.0983,-11.9329,2.04024,0.499248,0.0231156,4428.08,-2260.04,-17.2537,7.36102,0.412436,0.109927
87,2330.99,-12.7208,0.489592,2318.46,12.5321,-14.8998,2.179,0.575633,-0.086041,4757.43,-2426.43,-21.0476,8.32674,0.485489,0.00410235
