Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSFv3,residual_QRSFv3
sn1999ac,0.01006,33.076313,0.174566,33.256951,-0.18063781,32.746945,0.3293681
sn2004s,0.010291,33.121922,0.173593,33.30663,-0.18470749,32.796689,0.32523328
sn1997do,0.01055,33.243687,0.17309,33.361035,-0.11734784,32.851165,0.39252199
sn2002dp,0.010888,33.394833,0.169021,33.430071,-0.035237917,32.920296,0.47453729
sn2006bh,0.011184,33.418357,0.166533,33.488805,-0.070448043,32.979112,0.43924448
sn2005al,0.012317,34.043068,0.16145,33.700216,0.34285199,33.190838,0.85223087
sn2001ep,0.013324,33.655632,0.158624,33.872524,-0.21689242,33.363425,0.29220661
sn1999dq,0.013533,33.4709,0.158393,33.906666,-0.43576601,33.397625,0.073275469
sn2002ha,0.013652,33.839835,0.157774,33.925874,-0.086038348,33.416865,0.42297041
sn2001bt,0.014151,33.705787,0.157186,34.004649,-0.29886179,33.495778,0.21000852
sn1997e,0.014256,33.855479,0.1564,34.020874,-0.1653951,33.512033,0.3434459
sn1992al,0.014411,33.837916,0.156643,34.044612,-0.20669531,33.535813,0.3021032
sn1999dk,0.01444,33.737233,0.157099,34.049025,-0.31179184,33.540234,0.19699883
sn2005bo,0.014467,33.887535,0.154784,34.053126,-0.16559131,33.544343,0.34319208
sn2001fe,0.014575,34.021211,0.155333,34.069454,-0.048242947,33.5607,0.46051017
sn2006n,0.0147,34.085762,0.155008,34.088202,-0.0024401791,33.579484,0.50627806
sn2005kc,0.01496,33.980505,0.153548,34.126702,-0.14619718,33.618055,0.36244984
sn2005el,0.015154,34.106559,0.153758,34.154998,-0.048439633,33.646406,0.46015316
sn2004eo,0.015469,33.821144,0.153515,34.200191,-0.37904756,33.691685,0.12945848
sn2001en,0.015482,33.99586,0.154168,34.202037,-0.2061762,33.693534,0.30232619
sn2001cn,0.015487,33.856674,0.153742,34.202746,-0.34607141,33.694245,0.16242959
sn2001bf,0.015504,33.940834,0.153374,34.205156,-0.26432203,33.69666,0.24417422
sn2001cz,0.015554,33.994274,0.153417,34.21223,-0.21795528,33.703747,0.29052707
sn1999aa,0.015573,34.202002,0.153276,34.214912,-0.012909451,33.706435,0.49556764
sn1994s,0.015664,34.062095,0.154751,34.227713,-0.1656183,33.719261,0.34283377
sn2004ey,0.015678,34.159785,0.151905,34.229676,-0.069891463,33.721228,0.43855679
sn2001v,0.015791,33.855547,0.152742,34.245458,-0.38991112,33.73704,0.11850652
sn2006td,0.015999,34.303185,0.153171,34.274214,0.028971505,33.765854,0.53733104
sn1996bv,0.016966,34.007209,0.153258,34.403233,-0.39602396,33.89514,0.11206903
sn2006ax,0.017387,34.395547,0.148936,34.457149,-0.061601636,33.949172,0.44637538
sn1998v,0.01745,34.146628,0.150702,34.465106,-0.31847771,33.957146,0.18948211
sn2000dk,0.017483,34.199729,0.150122,34.469263,-0.26953364,33.961312,0.23841722
sn1998ef,0.017672,33.973923,0.150611,34.492921,-0.51899842,33.985022,-0.011099705
sn2007ci,0.018599,34.476068,0.149282,34.605457,-0.12938876,34.097813,0.37825487
sn1992bo,0.018902,34.68293,0.149087,34.641044,0.041886577,34.133483,0.54944745
sn2002kf,0.019581,34.742169,0.147459,34.718787,0.023382059,34.211414,0.53075597
sn2006ej,0.02039,34.748902,0.147727,34.808019,-0.059117479,34.300867,0.44803452
sn2005ki,0.020396,34.69654,0.145393,34.808668,-0.1121276,34.301517,0.39502274
sn1992bc,0.020792,34.611741,0.14683,34.85107,-0.23932858,34.344028,0.2677133
sn2003w,0.020997,34.619272,0.145587,34.872709,-0.25343711,34.365723,0.25354883
sn2002jy,0.021541,35.043998,0.145405,34.929138,0.1148592,34.422301,0.6216964
sn2007bc,0.021706,34.823241,0.146331,34.945976,-0.12273453,34.439184,0.38405707
sn2006bq,0.021956,34.890393,0.145024,34.971251,-0.080857788,34.464527,0.42586599
sn2008bf,0.022068,34.948236,0.144685,34.982481,-0.034244771,34.475788,0.47244795
sn1995ak,0.022399,34.68654,0.149213,35.015348,-0.32880845,34.508746,0.17779418
sn2006et,0.022466,34.775523,0.145994,35.021942,-0.2464189,34.515358,0.26016514
sn2006mp,0.022629,35.162767,0.145184,35.037905,0.12486264,34.531366,0.63140189
