Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QuantumAttractorUnifiedCosmology,residual_QuantumAttractorUnifiedCosmology
sn1992ag,0.025198,34.99283,0.148276,35.173394,-0.18056326,35.175361,-0.18253083
sn2007cq,0.025468,34.943635,0.143429,35.196986,-0.25335154,35.199188,-0.2555532
sn2005ms,0.026567,35.377692,0.142099,35.290545,0.087146766,35.29369,0.084002065
sn1999gp,0.026677,35.353986,0.142999,35.2997,0.054286253,35.302937,0.051048901
sn2005na,0.026881,35.274075,0.141195,35.31658,-0.042504431,35.319989,-0.045913466
sn2007co,0.027064,35.208077,0.141685,35.331615,-0.12353802,35.335178,-0.12710059
sn2004gs,0.027499,35.554208,0.140928,35.366959,0.18724821,35.370884,0.1833239
sn1992p,0.027637,35.512376,0.144083,35.378058,0.13431797,35.382096,0.1302804
sn1998ab,0.027688,34.989967,0.143171,35.382146,-0.39217912,35.386226,-0.39625876
sn2002de,0.027748,35.482228,0.141846,35.386945,0.095282836,35.391075,0.091153453
sn2003u,0.028561,35.339311,0.14269,35.450998,-0.11168661,35.455788,-0.11647739
sn2005eq,0.029086,35.610269,0.141059,35.491417,0.11885186,35.496628,0.11364031
sn2006qo,0.029526,35.436744,0.142005,35.524746,-0.088002014,35.530305,-0.093561556
sn1990o,0.030325,35.497775,0.143169,35.584044,-0.086269233,35.590225,-0.092450421
sn2001ba,0.030381,35.669209,0.142175,35.588142,0.081067039,35.594367,0.074842459
sn2003ch,0.030416,35.690108,0.140939,35.5907,0.099408462,35.596951,0.093156843
sn1997dg,0.030482,35.947597,0.1417,35.595515,0.35208224,35.601818,0.3457798
sn1996c,0.030721,35.590467,0.142617,35.612869,-0.022402096,35.619353,-0.028886736
sn2006bt,0.031484,35.80412,0.140272,35.667396,0.13672363,35.674458,0.12966241
sn2006az,0.031485,35.68697,0.140346,35.667467,0.019502681,35.674529,0.012440716
sn2007bd,0.031638,35.584368,0.14121,35.678246,-0.093877142,35.685421,-0.10105284
sn1999cc,0.031764,35.633256,0.140686,35.687083,-0.053827,35.694353,-0.06109677
sn2004as,0.032538,35.8802,0.14043,35.740633,0.13956684,35.748471,0.13172912
sn2004l,0.033173,35.745515,0.143111,35.783645,-0.038129146,35.79194,-0.046424564
sn2006s,0.033255,35.96312,0.139885,35.78914,0.17397953,35.797494,0.16562575
sn2006gr,0.033614,35.91306,0.139809,35.813045,0.1000153,35.821653,0.091406939
sn2005iq,0.034074,36.012203,0.138969,35.843314,0.16888945,35.852244,0.15995876
sn2005eu,0.034781,35.901769,0.141596,35.889066,0.012702721,35.898484,0.0032848196
sn1996bl,0.034854,35.742786,0.141007,35.893738,-0.15095245,35.903206,-0.16042024
sn2003iv,0.034971,36.008294,0.140126,35.901207,0.10708697,35.910754,0.097539669
sn1992bg,0.035218,35.883836,0.14465,35.916894,-0.033058667,35.926609,-0.042772902
sn2002hd,0.035755,35.691602,0.142258,35.950633,-0.25903034,35.960706,-0.26910376
SDSS17784,0.03652,36.08076,0.115396,35.997853,0.082907302,36.008428,0.072332249
sn2000cf,0.036934,36.125246,0.140956,36.023006,0.10224005,36.033848,0.091398225
sn2006nz,0.03695,36.067055,0.114021,36.023973,0.043082216,36.034825,0.032230105
sn2006mo,0.036969,36.135765,0.141722,36.02512,0.11064499,36.035984,0.099780682
sn2001eh,0.037075,36.029637,0.139296,36.03151,-0.0018730287,36.042442,-0.012805178
sn2002hu,0.038086,36.047263,0.138952,36.091579,-0.044316266,36.103146,-0.05588328
sn1999aw,0.039083,36.261874,0.139901,36.149315,0.11255911,36.161489,0.10038535
sn2003fa,0.039219,36.157637,0.138984,36.157079,0.00055753139,36.169335,-0.011697773
sn2001az,0.040259,36.35703,0.142119,36.215602,0.14142789,36.228467,0.12856238
sn2005lz,0.040689,36.276362,0.139014,36.23937,0.036992225,36.252482,0.023880391
sn1992bh,0.041657,36.527303,0.141016,36.291995,0.23530737,36.305649,0.22165389
sn1992bl,0.0424,36.296029,0.142756,36.331588,-0.03555915,36.345645,-0.049616634
SDSS10805,0.04413,36.27164,0.11486,36.421226,-0.14958591,36.436184,-0.16454407
SDSS14279,0.04428,36.292702,0.113705,36.428837,-0.13613469,36.44387,-0.15116828
sn2005hc,0.04492,36.564561,0.111373,36.46103,0.10353048,36.476381,0.088179392
sn2004gu,0.046856,36.447889,0.137271,36.555777,-0.10788751,36.572043,-0.12415351
sn1995ac,0.048984,36.350468,0.139079,36.65564,-0.30517189,36.672834,-0.32236593
sn1993ag,0.049325,36.589362,0.140167,36.671251,-0.081889154,36.688587,-0.099224452
sn1990af,0.049519,36.643828,0.139446,36.680086,-0.036258645,36.697501,-0.053673403
sn1993o,0.053126,36.846507,0.139575,36.838529,0.0079779737,36.857303,-0.010795312
sn1998dx,0.05386,36.749621,0.140685,36.869495,-0.11987431,36.888518,-0.13889678
sn1999ao,0.054931,37.041519,0.143919,36.913956,0.12756307,36.933326,0.10819302
SDSS19968,0.05499,36.903421,0.112893,36.916381,-0.012959956,36.935769,-0.032348558
SDSS6558,0.05634,37.006419,0.112867,36.971191,0.035227163,36.99099,0.015428837
SDSS14318,0.05654,36.864026,0.122398,36.979204,-0.11517742,36.99906,-0.13503394
SDSS17745,0.05874,37.218674,0.114585,37.06558,0.15309355,37.086034,0.13263973
sn2006ob,0.059289,37.049891,0.111086,37.08665,-0.036759197,37.107241,-0.057350133
sn2006oa,0.060959,37.14167,0.11093,37.149605,-0.0079351039,37.170584,-0.028913853
SDSS3901,0.062818,37.129647,0.112357,37.217765,-0.088117848,37.239125,-0.10947803
sn2007ae,0.062961,37.139126,0.140212,37.222927,-0.083800883,37.244314,-0.10518809
sn1992bs,0.063345,37.416847,0.141293,37.236734,0.18011322,37.258193,0.15865452
SDSS10028,0.064229,37.197295,0.112975,37.268217,-0.070921739,37.289832,-0.092536607
sn2006an,0.065193,37.374426,0.139912,37.302078,0.072347461,37.32385,0.050575413
SDSS6057,0.06651,37.294806,0.112612,37.347571,-0.052765515,37.369536,-0.074730603
sn2006al,0.069122,37.617081,0.145157,37.435298,0.18178343,37.457573,0.15950801
sn2006on,0.069751,37.294725,0.111409,37.455949,-0.16122419,37.478285,-0.18356041
sn1993b,0.070153,37.383197,0.146379,37.469054,-0.085857305,37.491426,-0.10822942
