ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QuantumAttractorUnifiedCosmology_tt,residual_QuantumAttractorUnifiedCosmology_tt,Dl_QuantumAttractorUnifiedCosmology_te,residual_QuantumAttractorUnifiedCosmology_te,Dl_QuantumAttractorUnifiedCosmology_ee,residual_QuantumAttractorUnifiedCosmology_ee
1971,229.279,-28.0519,51.929,224.979,4.29976,-21.3176,-6.73433,10.4634,41.4656,258.507,-29.2286,3.71787,-31.7698,12.2544,39.6746
1988,225.825,-27.8392,5.28485,229.745,-3.92031,-21.8945,-5.94473,9.25545,-3.9706,239.701,-13.8766,0.270132,-28.1093,13.0146,-7.72972
2005,240.086,,,234.084,6.00175,-21.2248,,7.97922,,226.141,13.9455,-3.864,,13.401,
2030,233.983,,,236.979,-2.99673,-18.2324,,6.2311,,216.359,17.6239,-10.2699,,13.2141,
2063,216.247,,,230.641,-14.3947,-11.9611,,4.61879,,218.965,-2.71891,-16.8842,,11.7408,
2096,204.908,,,211.598,-6.68989,-5.39671,,4.12202,,232.038,-27.1299,-19.3781,,9.36806,
2129,200.092,,,183.792,16.3005,-0.844975,,4.62677,,244.591,-44.4983,-16.9935,,6.91712,
2162,168.762,,,154.122,14.6397,0.498813,,5.65455,,247.499,-78.7367,-11.0748,,5.14645,
2195,140.144,,,129.475,10.6695,-1.18863,,6.58885,,236.258,-96.1136,-3.84896,,4.47082,
2228,129.223,,,113.982,15.2415,-4.5851,,6.94421,,211.881,-82.6576,2.06224,,4.89943,
2261,118.304,,,107.88,10.424,-7.9668,,6.53558,,180.537,-62.233,4.94312,,5.9976,
2294,118.51,,,108.087,10.4225,-9.89059,,5.50197,,149.611,-31.1011,4.27041,,7.19759,
2327,115.407,,,109.911,5.49654,-9.74998,,4.214,,126.106,-10.699,0.836764,,7.92058,
2360,114.999,,,109.229,5.76915,-7.84856,,3.08348,,113.111,1.8872,-3.6531,,7.86891,
2393,126.918,,,103.883,23.0345,-5.14365,,2.41068,,110.274,16.6431,-7.46634,,7.02916,
2426,90.007,,,94.2836,-4.2766,-2.75816,,2.27444,,113.693,-23.6865,-9.2495,,5.68648,
2459,83.9457,,,82.6572,1.28847,-1.5,,2.54508,,118.19,-34.2443,-8.69576,,4.27289,
2492,78.7067,,,71.9111,6.79561,-1.60967,,2.96102,,119.299,-40.5926,-6.25441,,3.18048,
