ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QuantumAttractorUnifiedCosmology_tt,residual_QuantumAttractorUnifiedCosmology_tt,Dl_QuantumAttractorUnifiedCosmology_te,residual_QuantumAttractorUnifiedCosmology_te,Dl_QuantumAttractorUnifiedCosmology_ee,residual_QuantumAttractorUnifiedCosmology_ee
923,1619.45,56.6996,31.4781,1584.08,35.3686,64.5643,-7.86467,32.7516,-1.27351,2228.06,-608.606,62.4761,-5.77646,17.6861,13.792
932,1562.39,54.4174,35.4116,1477.62,84.7753,59.152,-4.73457,35.4946,-0.0829998,2123.86,-561.464,71.6506,-17.2332,20.0405,15.3711
941,1437.55,50.1516,37.4935,1379.02,58.5228,51.4044,-1.25273,37.9884,-0.494916,2013.48,-575.931,78.3649,-28.2133,22.584,14.9095
950,1342.39,41.3038,37.058,1290.11,52.2784,41.6286,-0.324873,40.1461,-3.08813,1898.83,-556.445,82.45,-41.1463,25.2547,11.8033
959,1285.75,33.7705,39.3482,1212.38,73.3762,30.199,3.5715,41.8946,-2.5464,1781.88,-496.124,83.8363,-50.0658,27.9905,11.3577
968,1232.84,20.9026,40.3395,1146.89,85.9456,17.5341,3.36854,43.1827,-2.84313,1665.5,-432.664,82.6277,-61.7251,30.6947,9.64487
977,1129.03,9.81707,40.4442,1094.27,34.7661,4.08066,5.73641,43.9737,-3.52954,1552.49,-423.458,78.989,-69.1719,33.2713,7.1729
986,1103.57,-0.29649,38.6279,1054.65,48.9241,-9.70662,9.41013,44.2469,-5.61904,1445.17,-341.591,73.0925,-73.389,35.6401,2.98779
995,1087.32,-14.7591,42.2792,1027.86,59.456,-23.3925,8.63348,43.9949,-1.71574,1345.52,-258.198,65.0913,-79.8503,37.7343,4.54485
1004,1024.83,-37.3546,40.1553,1013.39,11.4358,-36.524,-0.830616,43.2223,-3.06699,1255.2,-230.376,55.1627,-92.5173,39.4988,0.65654
1013,1079.48,-45.221,46.1332,1010.12,69.3616,-48.6482,3.42714,41.9573,4.17586,1175.27,-95.7866,43.6801,-88.9011,40.8892,5.24405
1022,1032.41,-48.6768,42.9829,1016.94,15.4653,-59.4784,10.8016,40.2554,2.72747,1106.75,-74.3411,31.0771,-79.7539,41.8737,1.10924
1031,1040.79,-54.6481,39.2361,1032.3,8.48998,-68.6611,14.0131,38.162,1.07411,1050.23,-9.44024,17.8671,-72.5152,42.4097,-3.17363
1040,1055.91,-59.1628,36.5526,1054.58,1.32711,-76.0048,16.842,35.7568,0.795798,1006.24,49.6641,4.40147,-63.5643,42.4891,-5.93651
1049,1081.98,-73.5188,35.8932,1081.78,0.19611,-81.2842,7.76542,33.1153,2.77791,974.929,107.048,-8.93488,-64.5839,42.0992,-6.206
1058,1129.81,-82.3317,37.0442,1112.06,17.7439,-84.4299,2.09815,30.3183,6.7259,956.376,173.432,-21.881,-60.4507,41.2394,-4.19515
1067,1122.39,-80.9655,28.6378,1143.54,-21.1443,-85.42,4.45451,27.4669,1.17091,949.396,172.995,-34.0464,-46.919,39.9655,-11.3277
1076,1153.29,-78.7501,25.1823,1174.45,-21.1662,-84.3057,5.55554,24.641,0.54131,952.533,200.755,-45.0521,-33.698,38.3252,-13.1429
1085,1217.71,-73.3497,20.9454,1203.12,14.5956,-81.214,7.86427,21.9286,-0.983239,964.366,253.345,-54.5946,-18.7551,36.3739,-15.4285
1094,1216.98,-76.2582,25.9907,1227.94,-10.968,-76.3238,0.065585,19.4106,6.58006,983.602,233.373,-62.4226,-13.8356,34.1602,-8.1695
1103,1211.44,-56.3317,16.4541,1247.61,-36.1713,-69.8897,13.558,17.1646,-0.710499,1009.18,202.253,-68.3612,12.0295,31.7297,-15.2755
1112,1213.36,-55.9813,15.7459,1261.05,-47.6915,-62.1982,6.21683,15.2536,0.492223,1039.64,173.719,-72.3191,16.3378,29.1452,-13.3993
1121,1246.29,-48.5737,15.3649,1267.57,-21.281,-53.5619,4.98822,13.726,1.63893,1072.8,173.49,-74.3114,25.7377,26.5041,-11.1392
1130,1237.54,-42.9851,15.5914,1266.68,-29.1366,-44.3132,1.32809,12.6166,2.97474,1106.61,130.932,-74.3797,31.3946,23.8946,-8.30325
1139,1215.83,-47.6841,13.6421,1258.25,-42.4153,-34.8111,-12.873,11.9481,1.694,1139.38,76.4491,-72.5924,24.9083,21.3925,-7.75034
1148,1212.52,-23.673,13.5995,1242.34,-29.8212,-25.4086,1.73563,11.7268,1.87273,1169.62,42.9011,-69.0117,45.3387,19.0572,-5.45771
1157,1220.58,-15.6744,14.5019,1219.31,1.27044,-16.4511,0.776708,11.944,2.55785,1196.09,24.492,-63.723,48.0486,16.9362,-2.43427
1166,1159.29,-21.3026,9.18108,1189.84,-30.5508,-8.24283,-13.0597,12.5773,-3.39626,1217.76,-58.4705,-57.0132,35.7107,15.0835,-5.90241
1175,1143.31,-13.603,10.5746,1154.77,-11.4669,-1.04461,-12.5583,13.5906,-3.01602,1233.69,-90.385,-49.2419,35.6389,13.5499,-2.97531
1184,1136.56,-5.79308,12.8028,1115.14,21.4219,4.91915,-10.7122,14.9356,-2.13278,1243.13,-106.567,-40.7327,34.9396,12.3739,0.428907
1193,1086.25,-2.23866,12.7564,1072.04,14.2092,9.46615,-11.7048,16.5526,-3.79622,1245.39,-159.14,-31.7673,29.5287,11.5827,1.17375
1202,1005.41,0.797025,23.1519,1026.78,-21.3741,12.4665,-11.6695,18.3728,4.77917,1240,-234.591,-22.5754,23.3724,11.1939,11.958
1211,975.189,6.31648,21.2917,980.65,-5.46111,13.8503,-7.5338,20.323,0.968673,1226.87,-251.678,-13.4058,19.7223,11.2071,10.0846
1220,970.73,11.2854,18.0007,934.899,35.8309,13.6152,-2.32979,22.3324,-4.33173,1206.73,-235.998,-4.60519,15.8906,11.594,6.40666
1229,906.514,0.795071,24.1192,890.718,15.7963,11.8097,-11.0147,24.3273,-0.208143,1180.35,-273.84,3.50973,-2.71466,12.3198,11.7994
1238,895.506,-1.70669,26.9876,849.261,46.2451,8.54379,-10.2505,26.2368,0.750779,1148.49,-252.982,10.6834,-12.3901,13.3524,13.6351
1247,860.053,6.50815,28.9322,811.524,48.5299,3.96685,2.5413,27.9897,0.942438,1111.71,-251.655,16.7002,-10.192,14.6597,14.2725
1256,805.618,-5.07351,28.2583,778.36,27.2577,-1.72818,-3.34533,29.5204,-1.26212,1070.53,-264.917,21.3918,-26.4653,16.2107,12.0476
1265,777.489,-10.6252,32.123,750.449,27.0398,-8.3138,-2.31137,30.7791,1.34387,1026.19,-248.701,24.6744,-35.2995,17.9442,14.1788
1274,770.016,-6.18903,28.0386,728.218,41.7983,-15.545,9.35597,31.7265,-3.68788,980.222,-210.206,26.5133,-32.7023,19.7793,8.25935
1283,736.545,-25.4341,25.1459,711.913,24.6321,-23.1553,-2.27872,32.334,-7.18809,934.006,-197.461,26.896,-52.3301,21.6453,3.50055
1292,758.18,-27.8221,32.7948,701.551,56.6292,-30.8692,3.0471,32.5805,0.214294,888.687,-130.507,25.8192,-53.6414,23.4793,9.31553
1301,733.856,-31.3034,32.8301,696.97,36.8863,-38.4055,7.10216,32.4612,0.368901,845.231,-111.375,23.2851,-54.5884,25.2341,7.59595
1310,712.532,-45.6622,32.308,697.803,14.7296,-45.5005,-0.1617,31.9808,0.327228,804.478,-91.946,19.3528,-65.015,26.8641,5.44391
1319,718.903,-45.3274,37.0351,703.533,15.3694,-51.9243,6.59693,31.1567,5.8784,767.342,-48.4393,14.2621,-59.5895,28.3113,8.72374
1328,723.408,-52.8192,22.7581,713.496,9.91139,-57.4746,4.65542,30.0216,-7.26351,734.627,-11.2194,8.26348,-61.0827,29.529,-6.77089
1337,757.937,-50.5695,32.7284,726.882,31.0551,-61.9768,11.4073,28.6144,4.11399,706.994,50.9431,1.57959,-52.1491,30.4763,2.25209
1346,737.666,-57.1386,25.6747,742.77,-5.10366,-65.2909,8.15225,26.983,-1.30825,684.993,52.6737,-5.60137,-51.5373,31.1216,-5.44689
1355,765.134,-65.5484,22.1336,760.154,4.9807,-67.3126,1.76421,25.1801,-3.0465,669.058,96.0766,-13.12,-52.4284,31.4392,-9.30554
1364,776.923,-62.1891,20.8649,778.09,-1.167,-67.998,5.80898,23.2663,-2.40134,659.179,117.744,-20.7477,-41.4414,31.4298,-10.5649
1373,777.362,-56.4015,13.9711,795.655,-18.2928,-67.3449,10.9434,21.2987,-7.32765,654.926,122.436,-28.1859,-28.2156,31.1078,-17.1367
1382,773.981,-47.5995,19.7096,811.939,-37.9575,-65.3959,17.7964,19.3378,0.371805,655.866,118.115,-35.1775,-12.422,30.4907,-10.7811
1391,806.044,-66.4348,18.9034,826.057,-20.0129,-62.2282,-4.20659,17.4416,1.46179,661.594,144.45,-41.4993,-24.9355,29.594,-10.6907
1400,830.177,-61.3485,26.3292,837.249,-7.07232,-57.9685,-3.37997,15.6685,10.6607,671.826,158.351,-46.9782,-14.3702,28.4336,-2.10442
1409,822.186,-54.6345,5.1988,844.837,-22.651,-52.7668,-1.8677,14.069,-8.87017,686.149,136.037,-51.4705,-3.16402,27.0294,-21.8306
