zcmb,mu_obs,e_mu_obs,mb,x1,c,mu_model_lcdm,residual_lcdm,mu_model_lambdacdm,residual_lambdacdm
0.08889,38.1867,0.11251,19.1151,-0.547524,0.048945,32.0419,6.14483,32.0419,6.14483
0.09007,38.2709,0.111899,18.4777,0.284478,-0.146258,32.1013,6.16968,32.1013,6.16968
0.0901,38.0787,0.124187,18.8189,0.316969,0.027279,32.1028,5.97594,32.1028,5.97594
0.09243,38.4096,0.122156,18.9395,0.664571,-0.024865,32.2178,6.19177,32.2178,6.19177
0.09391,38.5843,0.11374,19.1766,-1.12337,-0.085483,32.2895,6.29481,32.2895,6.29481
0.09401,38.4611,0.112725,18.6395,1.27189,-0.11082,32.2943,6.16679,32.2943,6.16679
0.09582,38.5333,0.112716,19.7734,-2.3096,0.069933,32.3803,6.15296,32.3803,6.15296
0.10264,38.777,0.113322,19.2061,1.41904,-0.023293,32.6911,6.08591,32.6911,6.08591
0.10289,38.7272,0.114221,19.157,-0.005434,-0.08741,32.7021,6.02509,32.7021,6.02509
0.10337,38.6517,0.111598,19.3735,-1.41295,-0.056782,32.7232,5.92855,32.7232,5.92855
0.10391,38.5069,0.112416,19.2605,0.849269,0.055639,32.7468,5.76013,32.7468,5.76013
0.10589,38.5103,0.112285,19.3706,-0.67268,0.021313,32.8322,5.67808,32.8322,5.67808
0.10602,38.6382,0.111682,19.2247,0.749838,-0.002746,32.8378,5.80037,32.8378,5.80037
0.10667,38.7795,0.112607,19.481,-0.106927,-0.00435,32.8655,5.91405,32.8655,5.91405
0.10725,38.4555,0.111743,19.3378,0.163568,0.066199,32.8901,5.56539,32.8901,5.56539
0.10751,38.7941,0.112402,19.5919,0.01421,0.032201,32.901,5.89304,32.901,5.89304
0.10924,38.8,0.112096,19.4742,-1.91434,-0.094807,32.9734,5.82662,32.9734,5.82662
0.11271,38.9642,0.112009,19.4059,0.885448,-0.043361,33.1153,5.84891,33.1153,5.84891
0.11304,38.8811,0.112246,19.1141,1.7337,-0.072351,33.1286,5.75254,33.1286,5.75254
0.11368,38.6852,0.111953,19.6746,-0.734703,0.060165,33.1542,5.53098,33.1542,5.53098
0.11389,39.0436,0.113093,19.7193,1.05335,0.039734,33.1626,5.88094,33.1626,5.88094
0.11402,38.7126,0.11346,19.1733,-0.191925,-0.08585,33.1678,5.54478,33.1678,5.54478
0.11635,38.9787,0.111949,19.4627,1.19351,-0.015778,33.2597,5.71901,33.2597,5.71901
0.11651,38.9224,0.113022,19.4195,-0.020801,-0.066413,33.266,5.65644,33.266,5.65644
0.11741,38.9502,0.112518,19.7846,-0.082681,0.039633,33.301,5.64921,33.301,5.64921
0.11767,38.9909,0.111671,19.1959,0.743346,-0.126086,33.311,5.67983,33.311,5.67983
0.11771,38.8917,0.113079,20.0399,-1.54,0.07502,33.3126,5.57913,33.3126,5.57913
0.11771,38.7771,0.11196,19.0522,0.789563,-0.101397,33.3126,5.4645,33.3126,5.4645
0.11845,39.0616,0.111824,19.4367,1.29099,-0.046502,33.3411,5.72047,33.3411,5.72047
0.11863,38.6695,0.127194,20.5418,-2.72425,0.255113,33.348,5.32154,33.348,5.32154
0.11966,39.2093,0.113363,20.32,0.742978,0.166043,33.3873,5.82194,33.3873,5.82194
0.11967,39.0874,0.112171,19.579,-0.014339,-0.06787,33.3877,5.69965,33.3877,5.69965
0.11967,38.9677,0.111976,19.6488,0.253433,0.005345,33.3877,5.57999,33.3877,5.57999
0.12044,39.0306,0.113463,20.2098,-0.303464,0.140894,33.4169,5.61366,33.4169,5.61366
0.12164,39.197,0.112462,19.946,-0.835084,-0.021891,33.462,5.73491,33.462,5.73491
0.12262,38.9566,0.11183,19.5093,0.757721,-0.013286,33.4986,5.45799,33.4986,5.45799
0.12276,38.9875,0.112478,19.6177,-0.34698,-0.038204,33.5038,5.48373,33.5038,5.48373
0.12281,38.9139,0.129766,19.5551,-1.34116,-0.079528,33.5056,5.40822,33.5056,5.40822
0.12303,38.9725,0.119632,19.971,-0.872609,0.056872,33.5138,5.45869,33.5138,5.45869
0.12376,38.9364,0.111795,19.6088,0.118662,-0.003543,33.5408,5.39561,33.5408,5.39561
0.1244,39.2087,0.113068,19.9537,0.657385,0.044204,33.5643,5.64442,33.5643,5.64442
0.125298,39.0628,0.085713,19.7523,-0.356571,-0.019485,33.5971,5.46571,33.5971,5.46571
0.12593,39.1818,0.157613,19.8902,-0.332265,-0.012297,33.62,5.56182,33.62,5.56182
0.12608,38.8772,0.113495,20.0429,-0.969154,0.10647,33.6254,5.25175,33.6254,5.25175
0.12649,39.0834,0.118731,19.8085,1.40132,0.071402,33.6402,5.44315,33.6402,5.44315
0.12715,39.1219,0.111895,19.7008,0.247941,-0.027883,33.664,5.45795,33.664,5.45795
0.12739,39.0419,0.113191,20.1044,0.878535,0.15663,33.6726,5.3693,33.6726,5.3693
0.12837,39.1219,0.112485,19.7476,-1.17286,-0.07694,33.7075,5.41437,33.7075,5.41437
0.12893,39.0919,0.113756,19.9288,-1.68269,-0.031848,33.7274,5.36452,33.7274,5.36452
0.12903,39.1264,0.115931,20.3369,-2.52862,0.050506,33.731,5.39542,33.731,5.39542
0.12953,39.0571,0.112137,20.1171,0.678679,0.146762,33.7486,5.3085,33.7486,5.3085
0.12961,39.3918,0.113865,20.5541,0.129042,0.154984,33.7514,5.64032,33.7514,5.64032
0.12961,39.2075,0.113841,19.8662,-1.62361,-0.086675,33.7514,5.45612,33.7514,5.45612
0.13045,39.4497,0.147057,19.6532,-0.839375,-0.198044,33.7809,5.66874,33.7809,5.66874
0.13243,39.4847,0.112393,20.1473,0.248082,-0.000855,33.8497,5.63498,33.8497,5.63498
0.13362,39.3268,0.113865,20.0914,0.915935,0.062187,33.8906,5.43618,33.8906,5.43618
0.13392,39.2151,0.111798,19.6079,0.882983,-0.059231,33.9009,5.3142,33.9009,5.3142
0.13508,39.4915,0.113196,20.4616,0.90023,0.12776,33.9403,5.55122,33.9403,5.55122
0.13588,39.1238,0.113673,20.0594,-0.347675,0.060305,33.9673,5.15646,33.9673,5.15646
0.13668,39.2463,0.113428,20.2688,-0.228704,0.093699,33.9942,5.25212,33.9942,5.25212
0.13811,39.2307,0.112284,19.5549,0.567102,-0.095614,34.0418,5.1889,34.0418,5.1889
0.13818,39.2977,0.11186,19.659,0.680037,-0.078535,34.0442,5.25351,34.0442,5.25351
0.13864,39.6113,0.119461,19.983,0.836869,-0.068099,34.0594,5.5519,34.0594,5.5519
0.13868,39.3174,0.116765,19.8971,-0.55804,-0.064004,34.0607,5.25666,34.0607,5.25666
0.14139,39.4495,0.113002,20.0835,1.15367,0.030808,34.1493,5.30017,34.1493,5.30017
0.14265,39.3858,0.112226,19.7087,0.594179,-0.09483,34.19,5.19583,34.19,5.19583
0.1431,39.3882,0.112072,19.8154,0.863284,-0.049019,34.2044,5.18373,34.2044,5.18373
0.1436,39.3074,0.111766,19.838,0.789492,-0.018978,34.2204,5.08691,34.2204,5.08691
0.14382,39.3562,0.111949,20.0455,0.911414,0.037728,34.2275,5.12869,34.2275,5.12869
0.14401,39.387,0.114616,19.9695,0.872358,0.001493,34.2335,5.1535,34.2335,5.1535
0.14468,39.6798,0.112388,20.2572,0.723179,-0.006892,34.2548,5.425,34.2548,5.425
0.14478,39.38,0.114439,20.4666,-1.92293,0.03787,34.258,5.12203,34.258,5.12203
0.14533,39.4148,0.119235,20.0608,0.715631,0.014894,34.2754,5.1394,34.2754,5.1394
0.14547,39.1254,0.113737,20.2834,-1.60736,0.075146,34.2798,4.84565,34.2798,4.84565
0.14564,39.7318,0.114307,20.3583,0.819513,0.013295,34.2851,5.44667,34.2851,5.44667
0.14582,39.2613,0.112189,19.8007,1.04449,-0.004648,34.2908,4.97049,34.2908,4.97049
0.14607,39.5591,0.117074,20.062,1.88731,0.021652,34.2987,5.26039,34.2987,5.26039
0.148,39.5542,0.111944,19.5972,0.675888,-0.181409,34.3589,5.19524,34.3589,5.19524
0.14839,39.404,0.11378,19.7413,-0.84545,-0.155197,34.371,5.03303,34.371,5.03303
0.1486,39.6442,0.112448,19.9703,0.508881,-0.097611,34.3775,5.26664,34.3775,5.26664
0.14901,39.5118,0.112283,19.9722,1.11686,-0.026876,34.3902,5.12166,34.3902,5.12166
0.15065,39.3715,0.113842,20.4039,-2.56543,-0.008622,34.4405,4.93103,34.4405,4.93103
0.15186,39.4536,0.112035,19.6811,0.506889,-0.129527,34.4772,4.97639,34.4772,4.97639
0.15295,39.6242,0.111718,19.7615,1.0678,-0.133296,34.5101,5.11405,34.5101,5.11405
0.15322,39.5214,0.113617,20.209,0.894088,0.036376,34.5182,5.0032,34.5182,5.0032
0.15363,39.6979,0.115274,20.241,0.15976,-0.043411,34.5305,5.16742,34.5305,5.16742
0.15463,39.6218,0.1715,19.9704,-0.196987,-0.122244,34.5604,5.06139,34.5604,5.06139
0.15473,39.5831,0.111655,19.8667,1.89306,-0.048817,34.5633,5.01975,34.5633,5.01975
0.15506,39.7623,0.118308,20.3859,-0.605778,-0.052008,34.5731,5.18913,34.5731,5.18913
0.15575,39.3921,0.111931,20.174,-0.034977,0.024848,34.5936,4.79853,34.5936,4.79853
0.15596,39.5935,0.112725,20.1461,0.344199,-0.032,34.5998,4.99369,34.5998,4.99369
0.15653,39.4709,0.113012,20.298,1.04006,0.087963,34.6166,4.85438,34.6166,4.85438
0.15895,39.6231,0.145393,19.938,-0.384727,-0.141622,34.6872,4.93589,34.6872,4.93589
0.15935,39.3627,0.111983,19.9078,0.971182,-0.00611,34.6988,4.6639,34.6988,4.6639
0.15999,39.6709,0.113136,20.4109,-0.149097,0.006164,34.7173,4.95363,34.7173,4.95363
0.15999,39.5138,0.113095,20.3515,-0.5222,0.020834,34.7173,4.7965,34.7173,4.7965
0.16035,39.4988,0.114045,20.2536,1.39169,0.08052,34.7276,4.77118,34.7276,4.77118
0.1605,39.5775,0.113217,20.3596,-0.229365,0.016122,34.7319,4.84556,34.7319,4.84556
0.1618,39.8171,0.120879,20.3283,1.78622,0.019766,34.7691,5.04797,34.7691,5.04797
0.16284,39.8097,0.114429,20.7509,-1.19248,0.023929,34.7987,5.01107,34.7987,5.01107
0.16357,39.5374,0.114386,20.5182,-0.75325,0.056574,34.8193,4.71809,34.8193,4.71809
0.16387,39.7051,0.113522,20.2744,-1.4078,-0.105729,34.8278,4.87734,34.8278,4.87734
0.1644,39.6146,0.11306,20.2598,0.522789,0.00595,34.8427,4.77191,34.8427,4.77191
0.16455,39.6375,0.113442,20.2438,0.15196,-0.023369,34.8469,4.79062,34.8469,4.79062
0.16565,39.4533,0.118455,20.412,-1.01868,0.037459,34.8776,4.57568,34.8776,4.57568
0.16817,39.5842,0.116716,20.174,-0.580103,-0.061756,34.9473,4.63691,34.9473,4.63691
0.16869,39.7969,0.116161,20.8899,-2.45746,0.015791,34.9616,4.83532,34.9616,4.83532
0.169455,39.8321,0.088415,20.2932,-1.46374,-0.143152,34.9825,4.84955,34.9825,4.84955
0.17028,39.8333,0.112043,20.1347,0.860171,-0.089735,35.005,4.82838,35.005,4.82838
0.17063,39.6877,0.114853,20.782,-1.9182,0.040563,35.0144,4.67324,35.0144,4.67324
0.17066,39.6461,0.115012,20.5571,1.82032,0.150278,35.0153,4.6308,35.0153,4.6308
0.1707,40.0576,0.115438,20.78,1.13039,0.058277,35.0163,5.04128,35.0163,5.04128
0.17373,40.0855,0.114314,20.5493,1.15004,-0.024265,35.0977,4.9878,35.0977,4.9878
0.17374,39.7136,0.112831,20.2426,0.120044,-0.049739,35.098,4.61563,35.098,4.61563
0.17383,39.7768,0.122163,21.0324,-1.45375,0.113585,35.1004,4.67639,35.1004,4.67639
0.17386,39.9511,0.112491,20.4523,-0.745633,-0.097808,35.1012,4.84992,35.1012,4.84992
0.17415,39.6095,0.118918,20.3514,0.026059,0.014706,35.1089,4.5006,35.1089,4.5006
0.1742,39.7645,0.113041,20.51,0.046786,0.016788,35.1102,4.65426,35.1102,4.65426
0.17558,39.8839,0.113152,20.2928,1.22465,-0.038586,35.1467,4.73719,35.1467,4.73719
0.17625,39.9952,0.113139,20.5914,0.470167,-0.012245,35.1644,4.83084,35.1644,4.83084
0.17653,39.8751,0.11256,20.1788,0.224801,-0.117703,35.1717,4.70343,35.1717,4.70343
0.17656,40.0656,0.113509,20.9128,-2.07927,-0.046418,35.1725,4.8931,35.1725,4.8931
0.17656,40.0352,0.113446,20.5046,0.829711,-0.03691,35.1725,4.86268,35.1725,4.86268
0.17658,40.3948,0.1635,20.397,1.95773,-0.136685,35.173,5.22182,35.173,5.22182
0.17706,39.9164,0.113873,20.7365,-0.296321,0.025339,35.1856,4.73084,35.1856,4.73084
0.17757,39.8848,0.114576,20.4281,-0.760469,-0.084884,35.1989,4.68585,35.1989,4.68585
0.17789,39.8246,0.112906,20.1526,0.289199,-0.106929,35.2072,4.61733,35.2072,4.61733
0.1781,40.3024,0.117139,20.9102,0.040834,-0.027909,35.2127,5.08969,35.2127,5.08969
0.17865,39.9473,0.113319,20.3593,-0.162051,-0.100206,35.227,4.72029,35.227,4.72029
0.17962,39.8126,0.113572,20.5676,0.279554,0.030383,35.2521,4.56048,35.2521,4.56048
0.17969,39.9369,0.113497,20.567,0.027587,-0.021299,35.2539,4.68302,35.2539,4.68302
0.17981,40.2308,0.120493,21.1517,0.479896,0.092962,35.257,4.97376,35.257,4.97376
0.18037,39.698,0.112763,20.2288,-0.30878,-0.068514,35.2714,4.4266,35.2714,4.4266
0.18055,39.7935,0.118342,20.6743,-0.137419,0.052129,35.276,4.51746,35.276,4.51746
0.18056,40.0441,0.117002,20.9069,-0.682083,0.021693,35.2763,4.76785,35.2763,4.76785
0.18079,39.871,0.117616,20.5792,0.282892,0.015433,35.2822,4.58883,35.2822,4.58883
0.18122,39.8385,0.112167,20.192,1.56054,-0.041282,35.2932,4.54526,35.2932,4.54526
0.18204,39.8343,0.115898,20.6806,-0.237165,0.036489,35.3141,4.52018,35.3141,4.52018
0.18255,40.0134,0.112208,20.2732,0.809261,-0.105454,35.3271,4.68627,35.3271,4.68627
0.18255,39.8784,0.114391,20.4738,-0.873266,-0.07317,35.3271,4.55131,35.3271,4.55131
0.18257,40.0921,0.115147,20.5986,0.503374,-0.039676,35.3276,4.76445,35.3276,4.76445
0.1828,40.0833,0.115225,20.8673,1.01574,0.072977,35.3334,4.74983,35.3334,4.74983
0.18322,39.8152,0.114206,20.2727,0.879572,-0.038487,35.3441,4.47109,35.3441,4.47109
0.18327,39.8199,0.117564,21.1085,-0.656771,0.160219,35.3454,4.47452,35.3454,4.47452
0.18435,40.1016,0.112927,20.6417,0.174788,-0.043682,35.3726,4.72898,35.3726,4.72898
0.185371,40.0447,0.085522,20.759,-0.075113,0.001222,35.3982,4.6464,35.3982,4.6464
0.18563,39.9089,0.11449,20.7737,-0.170077,0.045482,35.4047,4.50415,35.4047,4.50415
0.18581,40.075,0.114889,20.4794,0.746501,-0.061663,35.4092,4.6658,35.4092,4.6658
0.18655,39.8743,0.121972,20.4769,0.132373,-0.025413,35.4277,4.44657,35.4277,4.44657
0.18667,39.9721,0.114334,21.0772,-1.44124,0.065591,35.4307,4.54139,35.4307,4.54139
0.18772,39.8715,0.118492,21.1117,-0.570147,0.148525,35.4567,4.41477,35.4567,4.41477
0.18965,39.9625,0.113593,20.9499,-0.53757,0.068414,35.5042,4.45829,35.5042,4.45829
0.1901,40.2106,0.114249,20.6326,1.12592,-0.038817,35.5152,4.69534,35.5152,4.69534
0.19084,39.9998,0.112617,20.4254,0.947789,-0.045704,35.5333,4.46647,35.5333,4.46647
0.19176,40.1203,0.114367,20.741,-0.018646,-0.026411,35.5557,4.5646,35.5557,4.5646
0.19191,40.4118,0.114568,21.2018,0.145971,0.035637,35.5593,4.85251,35.5593,4.85251
0.19198,39.9565,0.114573,20.4665,-0.792727,-0.09709,35.561,4.39553,35.561,4.39553
0.19215,40.2688,0.114217,20.6441,0.395729,-0.086867,35.5651,4.70367,35.5651,4.70367
0.19392,40.1502,0.117691,21.065,-0.393434,0.05151,35.6078,4.54249,35.6078,4.54249
0.19422,40.1095,0.11684,20.9824,0.35042,0.071594,35.6149,4.4946,35.6149,4.4946
0.19465,39.8384,0.114454,20.622,0.160993,0.034235,35.6252,4.21318,35.6252,4.21318
0.19494,39.7999,0.11376,20.3676,1.17964,0.010582,35.6322,4.16774,35.6322,4.16774
0.1958,40.2163,0.113084,20.7043,2.03052,0.023292,35.6527,4.56369,35.6527,4.56369
0.19654,40.2565,0.117701,21.0177,-0.343601,0.004228,35.6702,4.58626,35.6702,4.58626
0.19671,40.3301,0.118689,20.9988,-0.446422,-0.030251,35.6742,4.65588,35.6742,4.65588
0.19699,40.0948,0.114008,20.6844,-0.774077,-0.070545,35.6809,4.41391,35.6809,4.41391
0.19709,40.2298,0.116183,20.3482,0.94902,-0.144736,35.6832,4.54656,35.6832,4.54656
0.19794,40.205,0.114551,20.7748,0.0302,-0.040623,35.7033,4.50169,35.7033,4.50169
0.19801,40.0271,0.115064,20.949,-1.33949,0.011075,35.7049,4.3222,35.7049,4.3222
0.19863,40.2722,0.116081,20.7113,-0.007405,-0.084476,35.7195,4.55269,35.7195,4.55269
0.19867,40.2368,0.114249,20.49,1.03155,-0.097533,35.7204,4.5164,35.7204,4.5164
0.1988,39.9925,0.124264,20.5199,-0.44361,-0.075727,35.7235,4.26908,35.7235,4.26908
0.19959,40.2511,0.115206,20.8498,1.11501,0.017693,35.7419,4.50917,35.7419,4.50917
0.20061,40.1022,0.120729,20.9547,-1.76706,-0.030617,35.7657,4.33654,35.7657,4.33654
0.20203,40.1646,0.117009,20.5564,0.781434,-0.064131,35.7986,4.36605,35.7986,4.36605
0.20231,40.2471,0.117808,20.7821,0.722312,-0.020602,35.805,4.44211,35.805,4.44211
0.20318,40.2808,0.114994,20.759,-0.819482,-0.10857,35.825,4.45577,35.825,4.45577
0.20399,40.2657,0.114245,20.9123,-0.339599,-0.032535,35.8436,4.42208,35.8436,4.42208
0.20466,40.2764,0.115117,20.7191,-0.639717,-0.111895,35.8589,4.41754,35.8589,4.41754
0.20515,40.4406,0.131465,21.1823,-0.677573,-0.017143,35.87,4.57056,35.87,4.57056
0.20554,40.2283,0.114345,20.613,-0.457773,-0.122373,35.8789,4.34936,35.8789,4.34936
