Model,FitStyle,Chi2_min,DoF,ReducedChi2,FitSuccess,OptimizerMessage,H0,Omega_m0,Omega_b0,H_A,p_alpha,k_exp,s_exp,t0_age_Gyr,A_osc,omega_osc,ti_osc_Gyr,phi_osc
LambdaCDM,h1_fixed_nuisance,1673.47,737,2.27065,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.4347,0.273246,0.0486,,,,,,,,,
USMF_V2,h1_fixed_nuisance,1668.74,731,2.28281,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,76.7117,0.433179,-0.307641,1.17713,13.4026,0.0167447,2.36973,7.32598,-0.239312
