Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSF,residual_QRSF
sn1999ac,0.01006,33.076313,0.174566,33.226704,-0.15039096,33.165875,-0.089561953
sn2004s,0.010291,33.121922,0.173593,33.276385,-0.15446305,33.215548,-0.093625602
sn1997do,0.01055,33.243687,0.17309,33.330793,-0.087106033,33.269946,-0.026259401
sn2002dp,0.010888,33.394833,0.169021,33.399833,-0.0049996174,33.338974,0.055859265
sn2006bh,0.011184,33.418357,0.166533,33.45857,-0.040212813,33.3977,0.020656769
sn2005al,0.012317,34.043068,0.16145,33.669993,0.37307556,33.609083,0.4339857
sn2001ep,0.013324,33.655632,0.158624,33.842311,-0.18667926,33.781365,-0.12573298
sn1999dq,0.013533,33.4709,0.158393,33.876455,-0.40555499,33.815501,-0.34460128
sn2002ha,0.013652,33.839835,0.157774,33.895664,-0.055828551,33.834706,0.0051293811
sn2001bt,0.014151,33.705787,0.157186,33.974444,-0.26865715,33.913468,-0.20768136
sn1997e,0.014256,33.855479,0.1564,33.99067,-0.13519156,33.929691,-0.074211993
sn1992al,0.014411,33.837916,0.156643,34.01441,-0.17649335,33.953425,-0.11550831
sn1999dk,0.01444,33.737233,0.157099,34.018823,-0.28159017,33.957837,-0.22060411
sn2005bo,0.014467,33.887535,0.154784,34.022925,-0.13538991,33.961938,-0.074402917
sn2001fe,0.014575,34.021211,0.155333,34.039253,-0.018042682,33.978262,0.042948214
sn2006n,0.0147,34.085762,0.155008,34.058003,0.027758785,33.997008,0.088754175
sn2005kc,0.01496,33.980505,0.153548,34.096506,-0.11600087,34.035501,-0.054996307
sn2005el,0.015154,34.106559,0.153758,34.124804,-0.018245352,34.063793,0.042766198
sn2004eo,0.015469,33.821144,0.153515,34.17,-0.34885652,34.108977,-0.2878338
sn2001en,0.015482,33.99586,0.154168,34.171846,-0.1759853,34.110822,-0.11496211
sn2001cn,0.015487,33.856674,0.153742,34.172555,-0.31588056,34.111532,-0.25485719
