ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSF_tt,residual_QRSF_tt,Dl_QRSF_te,residual_QRSF_te,Dl_QRSF_ee,residual_QRSF_ee
32,1097.01,1.51224,0.0643557,1097.86,-0.853576,1.91889,-0.406652,0.0269514,0.0374043,1107.63,-10.6164,1.91595,-0.403715,0.0273279,0.0370278
37,1180.26,3.11711,0.0649424,1185.85,-5.58834,1.87618,1.24092,0.0442832,0.0206592,1197.72,-17.4513,1.859,1.25811,0.0448734,0.020069
42,1426.97,0.820244,0.0699042,1279.4,147.571,1.57746,-0.757212,0.0678487,0.0020555,1293.77,133.203,1.54465,-0.724406,0.0687501,0.00115411
47,1364.66,1.07013,0.141281,1377.03,-12.3696,0.999503,0.0706261,0.0981069,0.0431737,1394.19,-29.5277,0.946279,0.12385,0.0994517,0.0418288
52,1329.06,1.08312,0.146964,1479.49,-150.429,0.0921849,0.990933,0.13569,0.011274,1499.74,-170.683,0.00811402,1.075,0.13756,0.00940432
57,1607.2,-3.82399,0.193005,1586.39,20.8037,-1.13583,-2.68816,0.180654,0.0123503,1609.99,-2.79793,-1.25047,-2.57352,0.183182,0.0098224
62,1663.41,-4.29778,0.296409,1698.87,-35.452,-2.70461,-1.59317,0.232935,0.0634733,1726.1,-62.6875,-2.86156,-1.43622,0.236222,0.0601869
67,1838.4,-2.04066,0.331388,1816.6,21.8,-4.60918,2.56851,0.292053,0.0393347,1847.71,-9.31045,-4.8129,2.77223,0.296221,0.0351671
72,1974.24,-8.54866,0.356963,1939.59,34.6569,-6.82646,-1.7222,0.357329,-0.00036562,1974.83,-0.588273,-7.08285,-1.46581,0.362514,-0.00555096
77,1765.67,-7.23417,0.448396,2069.39,-303.72,-9.34892,2.11475,0.427893,0.0205031,2108.93,-343.266,-9.66596,2.43179,0.434197,0.0141988
82,2168.04,-9.89267,0.522364,2205.22,-37.1857,-12.1342,2.24158,0.502382,0.0199818,2249.31,-81.2743,-12.5177,2.62501,0.509924,0.0124401
87,2330.99,-12.7208,0.489592,2347.28,-16.2858,-15.1377,2.41685,0.579369,-0.0897772,2396.16,-65.1699,-15.5923,2.87151,0.588257,-0.098665
92,2446.65,-19.2047,0.789127,2494.55,-47.8996,-18.3046,-0.900064,0.657334,0.131793,2548.36,-101.706,-18.8347,-0.370009,0.667641,0.121486
97,2484.46,-19.0476,0.57472,2647.23,-162.772,-21.5847,2.53711,0.734497,-0.159777,2706.12,-221.659,-22.195,3.14746,0.74629,-0.17157
104,2951.15,-28.1287,0.830793,2870.29,80.8655,-26.2611,-1.86761,0.837742,-0.00694818,2936.47,14.6828,-26.9896,-1.13906,0.851687,-0.0208934
113,3221.96,-31.7919,0.924375,3170.76,51.1965,-32.152,0.360045,0.955104,-0.0307296,3246.45,-24.4859,-33.0367,1.24478,0.971839,-0.0474645
122,3382.73,-35.701,1.11192,3482.22,-99.4907,-37.5233,1.82237,1.04625,0.065667,3567.35,-184.625,-38.563,2.86203,1.06564,0.0462762
131,3592.1,-41.5613,1.10666,3799,-206.895,-41.9638,0.40259,1.1033,0.00336173,3893.45,-301.354,-43.153,1.59176,1.12499,-0.0183372
140,4229.84,-43.6625,1.09668,4114.83,115.007,-45.0875,1.42491,1.1213,-0.0246148,4218.35,11.4856,-46.4158,2.75327,1.14472,-0.0480418
149,4251.39,-45.0365,1.00578,4423.57,-172.183,-46.5616,1.52502,1.09946,-0.0936818,4535.56,-284.17,-48.011,2.97447,1.12376,-0.117982
158,4778.71,-49.241,1.07943,4717.17,61.5359,-46.1017,-3.13924,1.04147,0.0379559,4836.69,-57.9832,-47.6465,-1.5945,1.0655,0.0139243
167,4844.8,-45.9645,0.855441,4989.2,-144.409,-43.5095,-2.45501,0.955923,-0.100482,5115.17,-270.373,-45.1193,-0.845234,0.978222,-0.122781
176,5120.63,-43.3901,0.96559,5232.2,-111.576,-38.6704,-4.71974,0.856289,0.109301,5363.44,-242.81,-40.3116,-3.07852,0.875057,0.0905328
185,5373.97,-30.3906,0.835251,5439.75,-65.7763,-31.5704,1.17975,0.760721,0.0745299,5574.98,-201.006,-33.2063,2.81572,0.773813,0.0614375
194,5542.7,-18.1436,0.793541,5606.3,-63.5995,-22.2999,4.15632,0.691407,0.102134,5744.13,-201.43,-23.8915,5.74792,0.69629,0.0972506
203,5446.22,-7.21464,0.694054,5727.38,-281.161,-11.0508,3.83616,0.673507,0.0205468,5866.29,-420.071,-12.5566,5.34197,0.667255,0.0267995
212,5636.34,2.53847,0.877642,5798.68,-162.335,1.89189,0.646577,0.733781,0.143861,5937.09,-300.748,0.513701,2.02477,0.713112,0.164531
221,5816.48,17.9047,0.874199,5819.27,-2.79024,16.1513,1.75341,0.899022,-0.0248234,5955.65,-139.169,14.9401,2.96462,0.860367,0.0138321
